path,links,title
/bvv/18spec.html,3/2,-
/bvv/19spec.html,4/3,-
/bvv/2000spec.html,4/4,-
/bvv/2001spec.html,4/4,-
/bvv/2002spec.html,4/4,-
/bvv/2003spec.html,3/3,-
/bvv/2004spec.html,2/2,-
/bvv/20spec.html,4/3,-
/bvv/21spec.html,4/3,-
/bvv/22spec.html,4/3,-
/bvv/23spec.html,4/3,-
/bvv/24spec.html,4/3,-
/bvv/25spec.html,4/3,-
/bvv/26spec.html,4/3,-
/bvv/27spec.html,4/3,-
/bvv/28spec.html,4/3,-
/bvv/29spec.html,4/3,-
/bvv/30spec.html,4/3,-
/bvv/31spec.html,4/3,-
/bvv/32spec.html,4/3,-
/bvv/33spec.html,4/3,-
/bvv/34spec.html,4/3,-
/bvv/35spec.html,4/3,-
/bvv/36spec.html,4/3,-
/bvv/37spec.html,4/3,-
/bvv/38spec.html,4/3,-
/bvv/39spec.html,4/3,-
/bvv/40spec.html,4/3,-
/bvv/41spec.html,4/3,-
/bvv/42spec.html,4/3,-
/bvv/43spec.html,4/3,-
/bvv/44spec.html,4/3,-
/bvv/45spec.html,4/3,-
/bvv/46spec.html,4/3,-
/bvv/47spec.html,4/3,-
/bvv/48spec.html,4/3,-
/bvv/49spec.html,4/3,-
/bvv/50spec.html,4/3,-
/bvv/51spec.html,4/3,-
/bvv/52spec.html,4/3,-
/bvv/53spec.html,4/3,-
/bvv/54spec.html,4/3,-
/bvv/55spec.html,3/3,-
/bvv/56spec.html,3/3,-
/bvv/57spec.html,3/3,-
/bvv/58spec.html,3/3,-
/bvv/59spec.html,3/3,-
/bvv/60spec.html,3/3,-
/bvv/61spec.html,3/3,-
/bvv/62spec.html,3/3,-
/bvv/63spec.html,3/3,-
/bvv/64spec.html,3/3,-
/bvv/65spec.html,3/3,-
/bvv/66spec.html,3/3,-
/bvv/67spec.html,3/3,-
/bvv/68spec.html,3/3,-
/bvv/69spec.html,3/3,-
/bvv/70spec.html,3/3,-
/bvv/71spec.html,3/3,-
/bvv/72spec.html,3/3,-
/bvv/73spec.html,3/3,-
/bvv/74spec.html,3/3,-
/bvv/75spec.html,3/3,-
/bvv/76spec.html,3/3,-
/bvv/77spec.html,3/3,-
/bvv/78spec.html,3/3,-
/bvv/79spec.html,3/3,-
/bvv/80spec.html,3/3,-
/bvv/81spec.html,3/3,-
/bvv/82spec.html,3/3,-
/bvv/83spec.html,4/3,-
/bvv/84spec.html,4/4,-
/bvv/85spec.html,3/3,-
/bvv/86spec.html,4/4,-
/bvv/87spec.html,3/3,-
/bvv/88spec.html,3/3,-
/bvv/89spec.html,3/3,-
/bvv/90spec.html,3/3,-
/bvv/91spec.html,4/4,-
/bvv/92spec.html,3/3,-
/bvv/93spec.html,3/3,-
/bvv/94spec.html,3/3,-
/bvv/95spec.html,3/3,-
/bvv/96spec.html,5/5,-
/bvv/97spec.html,5/4,-
/bvv/98spec.html,5/5,-
/bvv/99spec.html,4/4,-
/bvv/bvv18.html,3/3,-
/bvv/bvv19.html,4/4,-
/bvv/bvv20.html,4/4,-
/bvv/bvv21.html,5/5,-
/bvv/bvv22.html,5/5,-
/bvv/bvv23.html,5/5,-
/bvv/bvv24.html,5/5,-
/bvv/bvv25.html,5/5,-
/bvv/bvv26.html,5/5,-
/bvv/bvv27.html,5/5,-
/bvv/bvv28.html,5/5,-
/bvv/bvv29.html,5/5,-
/bvv/bvv30.html,5/5,-
/bvv/bvv31.html,5/5,-
/bvv/bvv32.html,4/4,-
/bvv/bvv33.html,4/4,-
/bvv/bvv34.html,4/4,-
/bvv/bvv35.html,4/4,-
/bvv/bvv36.html,4/4,-
/bvv/bvv37.html,4/4,-
/bvv/bvv38.html,4/4,-
/bvv/bvv39.html,4/4,-
/bvv/bvv40.html,4/4,-
/bvv/bvv41.html,4/4,-
/bvv/bvv42.html,4/4,-
/bvv/bvv43.html,4/4,-
/bvv/bvv44.html,4/4,-
/bvv/bvv45.html,4/4,-
/bvv/bvv46.html,4/4,-
/bvv/bvv47.html,4/5,-
/bvv/bvv48.html,4/5,-
/bvv/bvv49.html,4/5,-
/bvv/bvv50.html,4/4,-
/bvv/bvv51.html,4/4,-
/bvv/bvv52.html,4/4,-
/bvv/bvv53.html,4/4,-
/bvv/bvv54.html,4/4,-
/bvv/bvv55.html,4/4,-
/bvv/bvv56.html,4/4,-
/bvv/bvv57.html,4/4,-
/bvv/bvv58.html,4/4,-
/bvv/bvv59.html,4/4,-
/bvv/bvv60.html,4/4,-
/bvv/bvv61.html,4/4,-
/bvv/bvv62.html,4/4,-
/bvv/bvv63.html,5/5,-
/bvv/bvv64.html,4/4,-
/bvv/bvv65.html,5/5,-
/bvv/bvvall.html,88/114,All-Time Record of B.V.V. and F.C. Den Bosch
/bvv/bvvcup96.html,0/3,-
/bvv/cup06.html,2/2,-
/bvv/cup25.html,2/2,-
/bvv/cup30.html,2/1,-
/bvv/cup64.html,2/1,-
/bvv/cup74.html,2/1,-
/bvv/cup85.html,2/1,-
/bvv/cup87.html,2/1,-
/bvv/cup88.html,2/1,-
/bvv/cup91.html,3/3,-
/bvv/cup93.html,2/1,-
/bvv/cup94.html,2/1,-
/bvv/cups.html,19/19,-
/bvv/derby.html,1/1,-
/bvv/encyclopedia.html,0/38,-
/bvv/fcdb2000.html,4/5,-
/bvv/fcdb2000-cup.html,3/1,-
/bvv/fcdb2000-league.html,4/1,-
/bvv/fcdb2001.html,4/6,-
/bvv/fcdb2001-cup.html,3/1,-
/bvv/fcdb2001-league.html,4/1,-
/bvv/fcdb2002.html,4/5,-
/bvv/fcdb2002-cup.html,3/1,-
/bvv/fcdb2002-league.html,4/1,-
/bvv/fcdb2003.html,4/4,-
/bvv/fcdb2004.html,3/4,-
/bvv/fcdb66.html,4/5,-
/bvv/fcdb67.html,4/4,-
/bvv/fcdb68.html,4/4,-
/bvv/fcdb69.html,4/4,-
/bvv/fcdb70.html,4/4,-
/bvv/fcdb71.html,4/5,-
/bvv/fcdb72.html,4/4,-
/bvv/fcdb73.html,4/4,-
/bvv/fcdb74.html,4/4,-
/bvv/fcdb75.html,4/4,-
/bvv/fcdb76.html,4/4,-
/bvv/fcdb77.html,4/4,-
/bvv/fcdb78.html,4/4,-
/bvv/fcdb79.html,4/4,-
/bvv/fcdb80.html,4/4,-
/bvv/fcdb81.html,4/4,-
/bvv/fcdb82.html,4/4,-
/bvv/fcdb83.html,5/6,-
/bvv/fcdb83-nac.html,3/2,-
/bvv/fcdb84.html,4/5,-
/bvv/fcdb85.html,4/4,-
/bvv/fcdb86.html,4/4,-
/bvv/fcdb87.html,4/4,-
/bvv/fcdb88.html,4/4,-
/bvv/fcdb89.html,4/4,-
/bvv/fcdb90.html,4/4,-
/bvv/fcdb91.html,4/4,-
/bvv/fcdb92.html,4/5,-
/bvv/fcdb93.html,4/4,-
/bvv/fcdb94.html,4/4,-
/bvv/fcdb95.html,4/4,-
/bvv/fcdb96.html,4/6,-
