path,links,title
/colours/aaland.html,2/3,Aland Islands - Team Colours
/colours/afghanistan.html,1/2,Afghanistan Team Colours
/colours/albania.html,1/2,Albania Team Colours
/colours/algeria.html,1/1,Algeria Team Colours
/colours/americansamoa.html,1/2,American Samoa Colours
/colours/andorra.html,1/2,Andorra Team Colours
/colours/angola.html,1/2,Angola Team Colours
/colours/anguilla.html,1/2,Anguilla Team Colours
/colours/antiguab.html,1/2,Antigua and Barbuda Team Colours
/colours/argentina.html,1/1,Argentina Team Colours
/colours/armenia.html,1/2,Armenian Team Colors
/colours/aruba.html,1/2,Aruba Team Colours
/colours/ascension.html,1/2,Ascension Island Team Colours
/colours/australia.html,1/2,Australia Team Colors
/colours/austria.html,1/1,Austria Team Colours
/colours/bahamas.html,1/2,Bahamas Team Colours
/colours/bahrain.html,1/2,Bahrain Team Colours
/colours/bangladesh.html,1/2,Bangladesh Team Colours
/colours/barbados.html,1/2,Barbados Team Colors
/colours/belarus.html,1/2,Belarussian Team Colours
/colours/belgium.html,1/1,Belgium Team Colors
/colours/belize.html,1/2,Belize Team Colours
/colours/benin.html,1/2,Benin Team Colours
/colours/bermuda.html,1/2,Bermudan Team Colours
/colours/bhutan.html,1/2,Bhutan Team Colours
/colours/bolivia.html,1/2,Bolivia Team Colours
/colours/bosniah.html,1/2,Bosnia-Hercegovina Team Colours
/colours/botswana.html,1/2,Botswana Team Colors
/colours/brazil.html,1/1,Brazilian Team Colours
/colours/brunei.html,1/2,Brunei Team Colours
/colours/bulgaria.html,1/2,Bulgaria Team Colours
/colours/burkinafaso.html,1/2,Burkina Faso Team Colours
/colours/burundi.html,1/2,Burundi Team Colours
/colours/bvislands.html,1/2,British Virgin Islands Team Colours
/colours/cambodia.html,1/2,Cambodia Team Colours
/colours/cameroon.html,1/2,Cameroon Team Colours
/colours/capeverde.html,1/2,Cape Verde Islands Team Colours
/colours/caymanislands.html,1/2,Cayman Islands Team Colours
/colours/centralafrica.html,1/2,Central African Republic Team Colours
/colours/chad.html,1/2,Chad Team Colours
/colours/channelislands.html,1/2,Channel Islands Team Colours
/colours/chile.html,1/2,Chile Team Colours
/colours/china.html,1/2,China Team Colours
/colours/colombia.html,1/1,Colombia Team Colors
/colours/comoros.html,1/2,Comoros Team Colours
/colours/congo.html,1/2,Congo(-Brazzaville) Team Colours
