path,links,title
/intldetails/1872-1880matches.html,0/1,?
/intldetails/1881-1890matches.html,0/2,?
/intldetails/1987matches.html,0/1,?
/intldetails/1988matches.html,0/1,?
/intldetails/1989matches.html,0/1,?
/intldetails/1990matches.html,0/1,?
/intldetails/1991matches.html,0/1,?
/intldetails/1992matches.html,0/1,?
/intldetails/1993matches.html,0/1,?
/intldetails/1994matches.html,0/1,?
/intldetails/1995matches.html,0/1,?
/intldetails/1996matches.html,0/1,?
/intldetails/1997matches.html,0/1,?
/intldetails/1998matches.html,0/1,?
/intldetails/1999matches.html,0/1,?
/intldetails/2000matches.html,0/1,?
/intldetails/2001matches.html,0/1,?
/intldetails/2002matches.html,0/1,?
/intldetails/2003matches.html,0/2,?
/intldetails/2004matches.html,0/1,?
/intldetails/nm-contrib.html,0/1,?
/intldetails/nm-overview.html,22/2,International Matches - Historical Overview
