path,links,title
/miscellaneous/100magn.htm,0/1,?
/miscellaneous/100magn.html,0/2,?
/miscellaneous/23august.html,1/2,Stadionul 23 August/Stadionul National
/miscellaneous/aaatwi-intl.html,0/1,?
/miscellaneous/aabegglen-intlg.html,0/2,?
/miscellaneous/aahughes-intl.html,0/4,?
/miscellaneous/aaquilani-intl.html,0/2,?
/miscellaneous/aasanchez-intlg.html,0/4,?
/miscellaneous/aashfaq-intlg.html,0/4,?
/miscellaneous/abdadeep-intlg.html,0/2,?
/miscellaneous/abdeljawad-intlg.html,0/3,?
/miscellaneous/abdullah-intl.html,0/4,?
/miscellaneous/abedzadeh-intl.html,0/1,?
/miscellaneous/abeier-intl.html,0/3,Albert 'Ali' Beier - International Appearances
/miscellaneous/abelardo-intl.html,0/2,?
/miscellaneous/aberezutskiy-intl.html,0/2,?
/miscellaneous/aboka-intl.html,0/1,?
/miscellaneous/aboutraika-intlg.html,0/3,?
/miscellaneous/abramczik-intl.html,0/2,?
/miscellaneous/abreu-intlg.html,0/1,?
/miscellaneous/abtraore-intlg.html,0/3,?
/miscellaneous/achola-intlg.html,0/4,?
/miscellaneous/acimovic-intlg.html,0/2,?
/miscellaneous/aconte-intl.html,0/1,?
/miscellaneous/acuna-intl.html,0/3,?
/miscellaneous/adam-intlg.html,0/5,?
/miscellaneous/adamec-intl.html,0/1,?
/miscellaneous/adams-intl.html,0/1,?
/miscellaneous/adebayor-intlg.html,0/2,?
/miscellaneous/ademir-intlg.html,0/2,?
/miscellaneous/adeshina-intl.html,0/1,?
/miscellaneous/adosari-intl.html,0/3,?
/miscellaneous/advocaat-cintl.html,0/2,?
/miscellaneous/aelmohammadi-intl.html,0/1,?
/miscellaneous/aepureanu-intl.html,0/4,?
/miscellaneous/aevidal-intlg.html,0/3,?
/miscellaneous/afathi-intl.html,0/3,?
/miscellaneous/afcunoffintl.html,18/3,Asian National Teams - Information and Trivia on Unofficial Matches
/miscellaneous/afellay-intl.html,0/1,?
/miscellaneous/aferraris-intl.html,0/2,Attilio Ferraris - International Appearances
/miscellaneous/afg-arezou-intlg.html,0/2,?
/miscellaneous/afoni-intl.html,0/1,?
/miscellaneous/afr-poy.html,35/4,African Player of the Year
/miscellaneous/afr-toy.html,1/2,African National Team of the Year
/miscellaneous/afr-wpoy.html,1/2,African Women Player of the Year
/miscellaneous/afranz-intl.html,0/2,?
/miscellaneous/afriedrich-intl.html,0/2,?
/miscellaneous/afrpoy00.html,0/1,?
/miscellaneous/afrpoy01.html,0/1,?
/miscellaneous/afrpoy02.html,0/1,?
/miscellaneous/afrpoy03.html,0/1,?
/miscellaneous/afrpoy04.html,0/1,?
/miscellaneous/afrpoy70.html,0/1,?
/miscellaneous/afrpoy71.html,0/1,?
/miscellaneous/afrpoy72.html,0/1,?
/miscellaneous/afrpoy73.html,0/1,?
/miscellaneous/afrpoy74.html,0/1,?
/miscellaneous/afrpoy75.html,0/1,?
/miscellaneous/afrpoy76.html,0/1,?
/miscellaneous/afrpoy77.html,0/1,?
/miscellaneous/afrpoy78.html,0/1,?
/miscellaneous/afrpoy79.html,0/1,?
/miscellaneous/afrpoy80.html,0/1,?
/miscellaneous/afrpoy81.html,0/1,?
/miscellaneous/afrpoy82.html,0/1,?
/miscellaneous/afrpoy83.html,0/1,?
/miscellaneous/afrpoy84.html,0/1,?
/miscellaneous/afrpoy85.html,0/1,?
/miscellaneous/afrpoy86.html,0/1,?
/miscellaneous/afrpoy87.html,0/1,?
/miscellaneous/afrpoy88.html,0/1,?
/miscellaneous/afrpoy89.html,0/1,?
/miscellaneous/afrpoy90.html,0/1,?
/miscellaneous/afrpoy91.html,0/2,?
/miscellaneous/afrpoy92.html,0/1,?
/miscellaneous/afrpoy93.html,0/1,?
/miscellaneous/afrpoy94.html,0/1,?
/miscellaneous/afrpoy96.html,0/1,?
/miscellaneous/afrpoy97.html,0/1,?
/miscellaneous/afrpoy98.html,0/1,?
/miscellaneous/afrpoy99.html,0/1,?
/miscellaneous/afstop100.html,0/1,?
/miscellaneous/agaev-intl.html,0/2,?
