path,links,title
/players/3098f-coaches.html,2/3,World Cup 1930-2026 - Info on Coaches
/players/abedipeledata.html,2/2,Abédi Ayew PELÉ  - Matches and Goals in Bundesliga
/players/abramczikdata.html,2/3,Rüdiger Abramczik - Matches and Goals in Bundesliga
/players/acerbidata.html,1/2,Francesco Acerbi - Appearances in Serie A
/players/acevesdata.html,1/2,José de Jesús Aceves - Career Goals
/players/acole-in-ec.html,1/2,"Andrew Alexander ""Andy"" Cole - Matches in European Cups"
/players/adchiesadata.html,1/1,Ángel Domingo Chiesa – Goals in Argentina League
/players/advocaat-coach-ec.html,2/1,Dick Advocaat - Coach in European Cups
/players/afacostadata.html,1/2,Alberto Federico Acosta – Goals in Argentina League
/players/afr-players-in-arg.html,0/2,AFRICAN
/players/afr-players-in-oost.html,0/2,African Players in Austria
/players/afriedrichdata.html,2/3,Arne Friedrich - Matches and Goals in Bundesliga
/players/agoerlitzdata.html,2/3,Andreas Görlitz - Matches and Goals in Bundesliga
/players/agoertzdata.html,2/3,Armin Görtz - Matches and Goals in Bundesliga
/players/ahelmer2data.html,1/3,Andreas Helmer - Matches and Goals in Bundesliga
/players/ahinkeldata.html,2/3,Andreas Hinkel - Matches and Goals in Bundesliga
/players/ahlebdata.html,2/2,Alyaksandr Paŭlavič Hleb  - Matches and Goals in Bundesliga
/players/ailie-in-ec.html,1/3,Adrian Bucurel Ilie - Matches in European Cups
/players/ailtondata.html,1/4,AÍLTON Gonçalves da Silva - Matches and Goals in Bundesliga
/players/alaladata.html,2/3,Altin Lala - Matches and Goals in Bundesliga
/players/alarcondata.html,1/1,Ricardo Antonio Alarcón – Goals in Argentina League
/players/alba-champ-teams.html,1/2,Albania - Championship Winning Teams
/players/alba-players-in-it.html,1/2,Albanian Players in Italy
/players/albelda-in-ec.html,1/1,David Aliques Albelda - Matches in European Cups
/players/albert-in-ec.html,2/2,Flórián Albert - Goals in European Cups
/players/albertini-in-ec.html,1/3,Demetrio Albertini - Matches in European Cups
/players/albertosidata.html,1/1,Enrico Albertosi - Appearances in Serie A
/players/alenichev-in-ec.html,1/3,Dmitri Anatolievich Alenichev - Matches in European Cups
/players/allgoewerdata.html,2/3,Karl Allgöwer - Matches and Goals in Bundesliga
/players/alltime-leagapp.html,19/6,List of League Appearances Records
/players/almeida-app-copalib.html,1/2,Ever Almeida's matches in Copa Libertadores
/players/aloisio-in-ec.html,1/1,Aloisio Pires Alves - Matches in European Cups
/players/altafini-in-ec.html,1/1,José João Altafini - Matches in European Cups
/players/altmanndata.html,1/3,Wolfgang Altmann - Matches and Goals in Oberliga
/players/altobelli-in-ec.html,2/1,Alessandro Altobelli - Goals in European Cups
/players/altobellidata.html,1/1,Alessandro Altobelli - Goals in Serie A
/players/alzamendidata.html,1/1,Antonio Alzamendi – Goals in Argentina League
/players/amadeidata.html,1/2,Amedeo Amadei - Goals in Serie A
/players/amancio-in-ec.html,2/1,Amancio Amaro Varela - Matches in European Cups
/players/amazzoladata.html,1/2,Alessandro Mazzola - Goals in Serie A
/players/ambrosini-in-ec.html,1/1,Massimo Ambrosini - Matches in European Cups
/players/ameierdata.html,1/4,Alexander Meier - Matches and Goals in Bundesliga
/players/amoellerdata.html,2/4,Andreas Möller - Matches and Goals in Bundesliga
/players/amorosodata.html,1/3,Márcio AMOROSO dos Santos - Matches and Goals in Bundesliga
/players/amorusodata.html,1/1,Nicola Amoruso - Goals in Serie A
/players/amuehren-in-ec.html,1/1,Arnold Johannes Mühren - Matches in European Cups
/players/amutu-in-ec.html,1/1,Adrian Mutu - Matches in European Cups
/players/anastasidata.html,1/1,Pietro Anastasi - Goals in Serie A
/players/anc-coach.html,2/3,African Nations Cup - Winning Coaches
/players/ancelotti-coach-ec.html,2/1,Carlo Ancelotti - Coach in European Cups
/players/anderson-in-ec.html,1/1,Sonny Anderson da Silva - Matches in European Cups
/players/andrichdata.html,1/4,Frieder Andrich - Matches in Oberliga
/players/ankrausedata.html,2/3,Andreas Krause - Matches and Goals in Oberliga
/players/antoniolidata.html,1/2,Francesco Antonioli - Appearances in Serie A
/players/aogodata.html,2/3,Dennis Aogo - Matches and Goals in Bundesliga
/players/apolides-in-it.html,1/2,"""Apolides"" in Italy"
/players/aragones-in-ec.html,1/1,Luis Aragones Suárez - Matches in European Cups
/players/arbil-coach.html,2/3,Arbil - Coaches
/players/areinhardtdata.html,2/3,Alois Reinhardt - Matches and Goals in Bundesliga
/players/arg-coach-champ.html,1/2,Argentina - Coaches of Championship Teams - First Level
/players/arg-coach-cupwins.html,1/2,Argentina - Coaches of Cup Winning Teams
/players/arg-coach2-champ.html,1/2,Argentina - Coaches of Championship Teams - Second Level
/players/arg-coach3-champ.html,1/2,Argentina - Coaches of Championship Teams - Third Level
/players/arg-coach4-champ.html,1/2,Argentina - Coaches of Championship Teams - Fourth Level
/players/arg-coach5-champ.html,1/2,Argentina - Coaches of Championship Teams - Fifth Level
/players/arg-matches.html,2/2,Argentina - All-Time Most Matches Played
/players/arg-players-6498.html,1/2,Argentina National Team Players 1964-1998
/players/arg-players-in-isra.html,1/2,Argentine Players in Israel
/players/arg-players-in-it.html,1/4,Argentine Players in Italy
