path,links,title
/rssbest/50greatclubs.html,0/1,-
/rssbest/aguinaga.html,0/1,-
/rssbest/allwhine.html,0/1,-
/rssbest/ancientorig.html,0/2,-
/rssbest/argpost2002.html,0/1,-
/rssbest/argpre2002.html,0/1,-
/rssbest/argwc98.html,1/1,-
/rssbest/arsezaragoza.html,0/1,-
/rssbest/attitudesmls.html,0/1,-
/rssbest/badbrighton.html,0/1,-
/rssbest/baggio.html,0/1,-
/rssbest/ballsboots.html,0/1,-
/rssbest/best.html,0/1,-
/rssbest/blatter.html,0/1,-
/rssbest/bolbra.html,0/1,-
/rssbest/bosman.html,0/1,-
/rssbest/braarg98.html,0/1,-
/rssbest/bratur.html,0/1,-
/rssbest/brazchamp.html,0/1,-
/rssbest/brazilarg.html,0/1,-
/rssbest/bronzeage.html,0/1,-
/rssbest/bullfighting.html,0/1,-
/rssbest/cagao.html,0/1,-
/rssbest/canadianrant.html,0/1,-
/rssbest/cantona.html,0/1,-
/rssbest/cantona-satire.html,0/1,-
/rssbest/capello.html,0/1,-
/rssbest/catenaccio.html,0/1,-
/rssbest/cheat.html,0/1,-
/rssbest/chess.html,0/1,-
/rssbest/classic6.html,3/1,-
/rssbest/clough.html,0/1,-
/rssbest/comeback.html,0/1,-
/rssbest/comedy.html,0/1,-
/rssbest/competitive.html,0/1,-
/rssbest/conspiracy.html,0/1,-
/rssbest/copa95group.html,0/1,-
/rssbest/copa95qf.html,0/1,-
/rssbest/copa95sf.html,0/1,-
/rssbest/corinthvscru.html,0/1,-
/rssbest/corruption.html,0/1,-
/rssbest/dada.html,0/1,-
/rssbest/despiteall.html,0/1,-
/rssbest/developing.html,0/1,-
/rssbest/diary.html,0/1,-
/rssbest/diego93.html,0/1,-
/rssbest/diego95.html,0/1,-
/rssbest/dimenticato.html,0/1,-
/rssbest/dinamite.html,0/1,-
/rssbest/disasters.html,0/1,-
/rssbest/downhard.html,0/1,-
/rssbest/drawhorror.html,0/1,-
/rssbest/dresden.html,0/1,-
/rssbest/duibra.html,0/1,-
/rssbest/easter.html,0/1,-
/rssbest/enghong.html,0/1,-
/rssbest/euro96.html,1/1,-
/rssbest/europevsam.html,0/1,-
/rssbest/europevsam-debate.html,3/1,-
/rssbest/fa1.html,0/2,-
/rssbest/fa2.html,0/1,-
/rssbest/fantasy.html,0/1,-
/rssbest/faqweek.html,0/1,-
/rssbest/fifarank.html,0/1,-
/rssbest/finnnames.html,0/1,-
/rssbest/flames+.html,0/1,-
/rssbest/flames0102.html,0/1,-
/rssbest/flames98.html,0/1,-
/rssbest/flamewars.html,1/1,-
/rssbest/formpos.html,1/1,-
/rssbest/fourfalse.html,0/1,-
/rssbest/francescoli.html,0/1,-
/rssbest/gaborzinho.html,0/1,-
/rssbest/germankit.html,0/1,-
/rssbest/godteam.html,0/1,-
/rssbest/golazos.html,0/1,-
/rssbest/grandoldlady.html,0/1,-
/rssbest/greatestgame.html,0/1,-
/rssbest/greatnotwc.html,0/1,-
/rssbest/greslerium.html,0/1,-
/rssbest/greycat.html,0/1,-
/rssbest/groupsofdeath.html,0/1,-
/rssbest/hallfame.html,0/1,-
/rssbest/hooliganism.html,0/1,-
/rssbest/hunfoot.html,0/1,-
/rssbest/hungabroad.html,0/1,-
/rssbest/interviews.html,0/1,-
/rssbest/intervmilan.html,0/1,-
/rssbest/israelaut.html,0/1,-
/rssbest/italians.html,0/1,-
/rssbest/kolakreturn.html,0/1,-
/rssbest/kubala.html,0/1,-
/rssbest/mailinglist.html,0/1,-
/rssbest/makemoneyfast.html,0/1,-
/rssbest/manodios.html,0/2,-
/rssbest/mantorras.html,0/1,-
/rssbest/maradona.html,2/1,-
/rssbest/mariomozza.html,0/1,-
/rssbest/media.html,0/1,-
/rssbest/meetrss.html,0/1,-
/rssbest/middlesboro.html,0/1,-
/rssbest/mlsgame.html,0/1,-
/rssbest/modernorig.html,2/2,-
/rssbest/modest.html,0/1,-
/rssbest/money.html,0/1,-
/rssbest/montypython.html,0/1,-
/rssbest/moon.html,0/1,-
/rssbest/moralworldcup.html,0/1,-
/rssbest/moreflames+.html,0/1,-
/rssbest/namedafter.html,0/1,-
/rssbest/nbc.html,0/1,-
/rssbest/norskpress.html,0/1,-
/rssbest/offtopic.html,0/1,-
/rssbest/oldboys.html,0/1,-
/rssbest/olympic.html,0/1,-
/rssbest/olympics96.html,1/1,-
/rssbest/oriundi.html,0/1,-
/rssbest/otheralltimexi.html,0/1,-
/rssbest/otherways.html,0/1,-
/rssbest/pacifica.html,0/1,-
/rssbest/paracol.html,0/1,-
/rssbest/peleWC50.html,0/1,-
/rssbest/penalties.html,0/1,-
/rssbest/penarol.html,0/1,-
/rssbest/philgood.html,0/1,-
/rssbest/pkstats.html,0/1,-
/rssbest/pow94.html,0/1,-
/rssbest/pow96.html,0/1,-
/rssbest/pow97.html,0/1,-
/rssbest/pow98.html,0/1,-
/rssbest/ppvtv.html,0/1,-
/rssbest/puskas.html,0/1,-
/rssbest/racing.html,0/1,-
/rssbest/racism.html,0/1,-
/rssbest/racism-europe.html,0/1,-
/rssbest/ramblings.html,0/1,-
/rssbest/realorigins.html,0/1,-
/rssbest/recoba.html,0/1,-
/rssbest/referees.html,0/1,-
/rssbest/rifftroll.html,0/1,-
/rssbest/robson.html,0/1,-
/rssbest/rogermilla.html,0/1,-
/rssbest/rssfaq.html,0/1,FAQ for rec.sport.soccer
/rssbest/rsspoy-overview.html,15/16,Rec.sport.soccer Player of the Year Award
/rssbest/rsspoy00.html,4/5,Rec.sport.soccer Player of the Year 2000
/rssbest/rsspoy01.html,4/3,Rec.sport.soccer Player of the Year 2001
/rssbest/rsspoy02.html,2/3,Rec.sport.soccer Player of the Year 2002
/rssbest/rsspoy03.html,3/2,Rec.sport.soccer Player of the Year 2003
/rssbest/rsspoy04.html,2/2,Rec.sport.soccer Player of the Year 2004
/rssbest/rsspoy05.html,2/2,Call For Votes - Rec.sport.soccer Player of the Year 2005
/rssbest/rsspoy92.html,3/3,Rec.sport.soccer Player of the Year 1992
/rssbest/rsspoy93.html,4/4,Rec.sport.soccer Player of the Year 1993
/rssbest/rsspoy94.html,4/4,Rec.sport.soccer Player of the Year 1994
