path,links,title
/sacups/aldao.html,3/5,Campeonato Rioplatense - Copa Dr. Ricardo C. Aldao (1913 - 1957)
/sacups/aldaodet.html,2/3,Campeonato Rioplatense - Copa Dr. Ricardo C. Aldao - Match Details
/sacups/allcopas-alltime.html,17/2,All-Time Table Conmebol Cups
/sacups/almirantebrion.html,3/9,Copa Gran Almirante Pedro Luis Brion
/sacups/argurucuptie.html,27/30,Cup Tie Competition - First Division
/sacups/argurucuptiedet.html,2/3,Cup Tie Competition - International Finals Details
/sacups/arguruhonor.html,3/5,Copa de Honor Cousenier
/sacups/arguruhonordet.html,2/3,Copa de Honor Cousenier - Match Details
/sacups/asoargcup.html,3/3,Copa Asociación Argentina - Argentine Asociation Cup
/sacups/asoargcupdet.html,2/2,Copa Asociación Argentina - Match Details
/sacups/bottaro57.html,1/4,-
/sacups/conmebol.html,14/13,Copa Conmebol
/sacups/conmebol-arg.html,1/2,Argentinian clubs in Copa Conmebol
/sacups/conmebol-peru.html,1/3,Peruvian clubs in Copa Conmebol
/sacups/conmebol-venez.html,0/2,Venezolan clubs in Copa Conmebol
/sacups/conmebol92.html,3/3,Copa Conmebol 1992
/sacups/conmebol93.html,5/4,Copa Conmebol 1993
/sacups/conmebol93det.html,2/2,Copa Conmebol 1993 - Match details
/sacups/conmebol94.html,5/5,Copa Conmebol 1994
/sacups/conmebol94det.html,2/2,Copa Conmebol 1994 - Match details
/sacups/conmebol95.html,4/4,Copa Conmebol 1995
/sacups/conmebol96.html,5/4,Copa Conmebol 1996
/sacups/conmebol96det.html,2/2,Copa Conmebol 1996 - Match details
/sacups/conmebol97.html,4/3,Copa Conmebol 1997
/sacups/conmebol98.html,4/3,Copa Conmebol 1998
/sacups/conmebol99.html,3/4,Copa Conmebol 1999
/sacups/conmebolpts.html,1/3,Copa Conmebol All-Time Table 1992-1999
/sacups/conmeboltops.html,1/2,Copa Conmebol Topscorers 1992-1999
/sacups/copa-5yr-ranking.html,2/3,Copa Libertadores de América - Five Year Coefficient Ranking
/sacups/copa-u20.html,1/3,U-20 Copa Libertadores
/sacups/copa-wom.html,19/19,Women's Copa Libertadores
/sacups/copa-wom-allt.html,2/3,All Time Table Women's Copa Libertadores
/sacups/copa-wom09.html,4/2,Women's Copa Libertadores 2009
/sacups/copa-wom2010.html,4/3,Women's Copa Libertadores 2010
/sacups/copa-wom2011.html,4/4,III Women's Copa Libertadores 2011
/sacups/copa-wom2012.html,4/3,Women's Copa Libertadores 2012
/sacups/copa-wom2013.html,4/3,Women's Copa Libertadores 2013
/sacups/copa-wom2014.html,4/3,VI Women's Copa Libertadores 2014
/sacups/copa-wom2015.html,4/3,VII Women's Copa Libertadores 2015
/sacups/copa-wom2016.html,4/3,VIII Women's Copa Libertadores 2016
/sacups/copa-wom2017.html,4/3,IX Women's Copa Libertadores 2017
/sacups/copa-wom2018.html,4/3,X Women's Copa Libertadores 2018
/sacups/copa-wom2019.html,4/3,XI Women's Copa Libertadores 2019
/sacups/copa-wom2020.html,4/3,XII Women's Copa Libertadores 2020
/sacups/copa-wom2021.html,4/3,XIII Women's Copa Libertadores 2021
/sacups/copa-wom2022.html,4/3,XIV Women's Copa Libertadores 2022
/sacups/copa-wom2023.html,4/3,XV Women's Copa Libertadores 2023
/sacups/copa-wom2024.html,4/3,XVI Women's Copa Libertadores 2024
