path,links,title
/tables/00a.html,7/8,African Nations Cup 2000
/tables/00a-det.html,3/3,African Nations Cup 2000 - Final Tournament Details
/tables/00a-qdet.html,3/2,African Nations Cup 2000 - Qualifying Tournament Details
/tables/00a-scor.html,3/3,African Nations Cup 2000 (Final Tournament) - Goal Scorers
/tables/00allanch.html,9/9,African Nations Championship
/tables/00as-scor.html,3/3,Asian Cup 2000 (Final Tournament) - Goal Scorers
/tables/00asch.html,6/7,Asian Nations Cup 2000
/tables/00asch-ext.html,2/2,Asian Nations Cup 2000 Final Tournament - Extended File
/tables/00e.html,6/6,European Championship 2000
/tables/00e-ext.html,3/6,European Championship 2000 - Details
/tables/00e-final.html,3/3,European Championship 2000 - Full Details Final Tournament
/tables/00e-scor.html,3/1,European Championship 2000 (Final and Qualifying Tournament) - Goal Scorers
/tables/00gc.html,10/11,"CONCACAF Championship, Gold Cup 2000"
/tables/00gc-details.html,2/2,"CONCACAF Championship, Gold Cup 2000 - Full Details"
/tables/00gc-full.html,2/2,"CONCACAF Championship, Gold Cup 2000 - Full Details"
/tables/00gc-scor.html,1/1,"CONCACAF Championship, Gold Cup 2000 - Goal Scorers"
/tables/00oc.html,6/7,Oceanian Nations Cup 2000
/tables/00oc-scor.html,3/3,Oceanian Nations Cup 2000 (Final Tournament) - Goal Scorers
/tables/02a.html,6/7,African Nations Cup 2002
/tables/02a-det.html,3/2,African Nations Cup 2002 - Final Tournament Details
/tables/02a-scor.html,3/3,African Nations Cup 2002 (Final Tournament) - Goal Scorers
/tables/02gc.html,7/6,"CONCACAF Championship, Gold Cup 2002"
/tables/02gc-full.html,2/3,"CONCACAF Championship, Gold Cup 2002 - Full Details"
/tables/02gc-scor.html,1/1,"CONCACAF Championship, Gold Cup 2002 - Goal Scorers"
/tables/02oc.html,5/5,Oceanian Nations Cup 2002
/tables/02oc-scor.html,3/3,Oceanian Nations Cup 2002 (Final Tournament) - Goal Scorers
/tables/03gc.html,7/9,"CONCACAF Championship, Gold Cup 2003"
/tables/03gc-full.html,2/2,"CONCACAF Championship, Gold Cup 2003 - Full Details"
/tables/03gc-scor.html,1/1,"CONCACAF Championship, Gold Cup 2003 - Goal Scorers"
/tables/04a.html,6/7,African Nations Cup 2004
/tables/04a-det.html,3/2,African Nations Cup 2004 - Final Tournament Details
/tables/04a-scor.html,3/2,African Nations Cup 2004 (Final Tournament) - Goal Scorers
/tables/04as-scor.html,3/1,Asian Cup 2004 (Final Tournament) - Goal Scorers
/tables/04asch.html,5/7,Asian Nations Cup 2004
/tables/04asch-ext.html,2/1,Asian Nations Cup 2004 Final Tournament - Extended File
/tables/04e.html,6/6,European Championship 2004
/tables/04e-ext.html,3/3,European Championship 2004 - Details
/tables/04e-scor.html,3/2,European Championship 2004 (Final and Qualifying Tournament) - Goal Scorers
/tables/04oc.html,7/6,Oceanian Nations Cup 2004
/tables/04oc-scor.html,3/2,Oceanian Nations Cup 2004 (Final Tournament) - Goal Scorers
/tables/05gc.html,7/5,"CONCACAF Championship, Gold Cup 2005"
/tables/05gc-full.html,2/1,"CONCACAF Championship, Gold Cup 2005 - Full Details"
/tables/05gc-scor.html,1/1,"CONCACAF Championship, Gold Cup 2005 - Goal Scorers"
/tables/06a.html,8/10,African Nations Cup 2006
/tables/06a-det.html,3/1,African Nations Cup 2006 - Final Tournament Details
/tables/06a-qdet.html,4/2,African Nations Cup 2006 - Qualifying Tournament Details
/tables/06a-scor.html,3/1,African Nations Cup 2006 (Final Tournament) - Goal Scorers
/tables/07as-scor.html,3/1,Asian Cup 2007 (Final Tournament) - Goal Scorers
/tables/07asch.html,5/5,Asian Nations Cup 2007
/tables/07asch-det.html,2/1,Asian Nations Cup 2007 - Qualifying - Match Details
/tables/07gc.html,7/5,"CONCACAF Championship, Gold Cup 2007"
/tables/07gc-full.html,2/1,"CONCACAF Championship, Gold Cup 2007 - Full Details"
/tables/07gc-scor.html,1/1,"CONCACAF Championship, Gold Cup 2007 - Goal Scorers"
/tables/08a.html,6/6,African Nations Cup 2008
/tables/08a-det.html,3/2,African Nations Cup 2008 - Match Details
/tables/08a-scor.html,3/2,African Nations Cup 2008 (Final Tournament) - Goal Scorers
/tables/08e.html,5/4,European Championship 2008
/tables/08e-det.html,2/1,European Championship 2008 (Details)
/tables/08oc.html,8/6,Oceanian Nations Cup 2008
/tables/08oc-scor.html,3/2,Oceanian Nations Cup 2008 (Final Tournament) - Goal Scorers
/tables/09anch.html,4/3,African Nations Championship 2009
/tables/09anch-det.html,2/2,African Nations Championship 2009 - Details
/tables/09gc.html,7/6,"CONCACAF Championship, Gold Cup 2009"
/tables/09gc-full.html,2/1,"CONCACAF Championship, Gold Cup 2009 - Full Details"
/tables/09gc-scor.html,1/1,"CONCACAF Championship, Gold Cup 2009 - Goal Scorers"
/tables/11asch.html,6/5,Asian Nations Cup 2011
/tables/11octubre71.html,1/2,Copa 11 de Octubre 1971
/tables/150-pasoandes67.html,1/3,Copa 150° Aniversario Paso de los Andes 19672
/tables/16sa.html,3/2,"South American Championship 1916 (Argentina, July 2-17)"
/tables/16sa-scor.html,1/1,Copa América 1916 - Goal Scorers
/tables/16safull.html,2/2,South American Championship 1916
/tables/17sa.html,4/3,"South American Championship 1917 (Uruguay, September 30-October 14)"
/tables/17sa-scor.html,1/1,Copa América 1917 - Goal Scorers
/tables/17safull.html,2/2,Southamerican Championship 1917
/tables/1923-china-tour-oz.html,4/4,China National Team Tour of Australia 1923
/tables/1924-canada-tour-oz.html,1/2,Canada Tour of Australia 1924
/tables/1924-china-tour-nz.html,3/4,Chinese Universities Tour of New Zealand 1924
/tables/1927-bohemians-tour-oz.html,1/3,Bohemians AFK Vršovice (Praha) Tour of Australia 1927
/tables/1927-china-tour-oz.html,7/4,China XI tour of Australia 1927
/tables/1933chile-perutour.html,1/5,"European Tour of the ""Combinado del Pacífico"" 1933-34"
/tables/19sa.html,4/2,"Copa America 1919 (Brazil, May 11-29)"
/tables/19sa-scor.html,1/1,Copa América 1919 - Goal Scorers
/tables/19safull.html,2/3,Southamerican Championship 1919
/tables/1fck-wafr72.html,1/1,1.FC Kaiserslautern tour of West Africa 1972
/tables/2001sa.html,4/3,Copa América 2001
/tables/2001sa-scor.html,1/1,Copa América 2001 - Goal Scorers
/tables/2001safull.html,2/2,Copa América 2001
/tables/2002f.html,7/7,World Cup 2002
/tables/2002f-countries.html,2/1,World Cup 2002 - Info on Qualified Countries
/tables/2002full.html,2/5,World Cup 2002 - Match Details
/tables/2002q.html,5/9,World Cup 2002 Qualifying
/tables/2002q-scor.html,4/2,World Cup 2002 (Final Tournament and Qualifiers) - Goal Scorers
/tables/2002wcq-afr.html,2/2,World Cup 2002 Qualifying - Africa
/tables/2002wcq-sam.html,2/2,World Cup 2002 Qualifying - South America
/tables/2002wcq-sam-caps.html,2/1,World Cup 2002 Qualifying - South America - Caps
/tables/2004sa.html,6/3,Copa América 2004
/tables/2004sa-ext.html,3/1,Copa América 2004 - Details
/tables/2004sa-scor.html,1/1,Copa América 2004 - Goal Scorers
/tables/2004safull.html,2/4,Copa América 2004
/tables/2006f.html,6/6,World Cup 2006
/tables/2006full.html,2/3,World Cup 2006 - Match Details
/tables/2006q.html,8/9,World Cup 2006 Qualifying
/tables/2006q-det.html,3/3,World Cup 2006 Qualifying - Match Details
/tables/2006q-scor.html,4/3,World Cup 2006 (Qualifiers) - Goal Scorers
/tables/2007sa.html,5/2,Copa América 2007
/tables/2007sa-scor.html,1/1,Copa América 2007 - Goal Scorers
/tables/2007safull.html,2/3,Copa América 2007
/tables/2010a.html,10/6,African Nations Cup 2010
/tables/2010a-det.html,3/2,African Nations Cup 2010 - Final Tournament Details
/tables/2010a-qdet.html,4/3,African Nations Cup 2010 - Qualifying Tournament Details
/tables/2010a-scor.html,3/2,African Nations Cup 2010 (Final Tournament) - Goal Scorers
/tables/2010f.html,6/5,World Cup 2010
/tables/2010full.html,2/4,World Cup 2010 - Match Details
/tables/2010q.html,7/6,World Cup 2010 Qualifying
/tables/2010q-det.html,3/2,World Cup 2010 Qualifying - Match Details
/tables/2011anch.html,5/4,African Nations Championship 2011
/tables/2011anch-det.html,2/2,African Nations Championship 2011 - Match Details
/tables/2011as-scor.html,3/1,Asian Cup 2011 (Final Tournament) - Goal Scorers
/tables/2011gc.html,7/7,"CONCACAF Championship, Gold Cup 2011"
