path,links,title
/tablesa/a3champions06.html,4/3,A3 Champions Cup (Tokyo) 2006
/tablesa/a3champions07.html,3/3,A3 Champions Cup (Jinan) 2007
/tablesa/a3eastasia.html,7/7,East Asian Champions Cup
/tablesa/a3mazda03.html,3/2,A3 Mazda Cup (Tokyo) 2003
/tablesa/a3nissan04.html,4/3,A3 Nissan Cup (Shanghai) 2004
/tablesa/a3nissan05.html,4/3,A3 Nissan Cup (Seogwipo) 2005
/tablesa/aachen-satrip68.html,1/3,South American Trip of Alemannia Aachen 1968
/tablesa/aachen05.html,1/1,Blitzturnier in Aachen 2005 (Germany)
/tablesa/aaland-wom09.html,4/2,Aland Islands (Women) 2009
/tablesa/aaland-wom2010.html,5/2,Aland Islands (Women) 2010
/tablesa/aaland-wom2024.html,5/2,Aland Islands (Women) 2024
/tablesa/aaland-wom2025.html,4/2,Aland Islands (Women) 2025
/tablesa/aaland09.html,4/3,Aland Islands 2009
/tablesa/aaland2010.html,5/4,Aland Islands 2010
/tablesa/aaland2011.html,5/3,Aland Islands 2011
/tablesa/aaland2012.html,5/4,Aland Islands 2012
/tablesa/aaland2014.html,5/3,Aland Islands 2014
/tablesa/aaland2015.html,5/3,Aland Islands 2015
/tablesa/aaland2016.html,5/3,Aland Islands 2016
/tablesa/aaland2018.html,5/2,Aland Islands 2018
/tablesa/aaland2019.html,5/2,Aland Islands 2019
/tablesa/aaland2020.html,5/3,Aland Islands 2020
/tablesa/aaland2021.html,5/3,Aland Islands 2021
/tablesa/aaland2022.html,5/3,Aland Islands 2022
/tablesa/aaland2023.html,5/3,Aland Islands 2023
/tablesa/aaland2024.html,5/3,Aland Islands 2024
/tablesa/aaland2025.html,5/3,Aland Islands 2025
/tablesa/aaland2026.html,4/3,Aland Islands 2026
/tablesa/aalandchamp.html,12/22,Aland Islands - List of Champions
/tablesa/aalandcuphist.html,4/22,Aland Islands - List of Cup Winners
/tablesa/aalandfound.html,2/3,Aland Islands - List of Foundation Dates
/tablesa/aarau-u11.html,1/1,U-11 Internationalen Aarau Masters (Switzerland)
/tablesa/aarau-youth.html,1/2,Aarau Youth Tournament (Switzerland)
/tablesa/aarau47.html,1/2,Sporting Club Aarau Tournament 1947
/tablesa/aarau60-62.html,1/2,60th Anniversary of FC Aarau 1962
/tablesa/aarau89.html,1/2,Aarau Turnier 1989
/tablesa/aarhus-tourn02.html,1/1,Aarhus Tournament 2002
