path,links,title
/tablesd/dac-celje30-36.html,1/2,Jubiläums-Pokal - 30th Anniversary of DAC (Celje) 1936
/tablesd/daewoo-argtrip94.html,1/2,Daewoo Royals Trip to Argentina 1994
/tablesd/dahomey49.html,4/3,Dahomey 1949/50
/tablesd/dahomey52.html,5/3,Dahomey 1951/52
/tablesd/dahomey54.html,5/3,Dahomey 1953/54
/tablesd/dahomey58.html,5/4,Dahomey 1958
/tablesd/dakar-tourn85.html,1/2,Tripartite Tournament 1985 (Dakar)
/tablesd/dakar-tourn91.html,1/4,Dakar Tournament 1991
/tablesd/dakar75.html,1/2,Dakar Friendly Tournament 1975
/tablesd/dakartrip-asm-fcn90.html,1/2,Senegal Trip of FC Nantes and AS Monaco 1990
/tablesd/dalian-jpn2005.html,1/1,Dalian Shide in Japan 2005
/tablesd/dallara.html,1/2,Trofeo Dall'Ara
/tablesd/dallascup.html,3/4,Dallas Cup
/tablesd/dallascup2014.html,3/4,XXXV Dallas Cup - 2014
/tablesd/dallascup2015.html,3/3,XXXVI Dallas Cup - 2015
/tablesd/dallastornado-nz68.html,3/2,Dallas Tornado's visit to New Zealand 1968
/tablesd/dallaswt68.html,2/3,Dallas Tornado world tour 1967-68
/tablesd/damas-fair54.html,1/2,1st Damascus International Fair 1954
/tablesd/danone.html,1/5,Eurofoot Danone Cup and Danone Nations Cup
/tablesd/danube40.html,2/4,Danube Cup 1940/41
/tablesd/danubio-mextour55.html,1/2,Mexican Trip of Danubio FC (Montevideo) 1955
/tablesd/danubiocuracao54.html,1/2,Danubio vs Curacao 1954
/tablesd/danzigclubs.html,2/3,Danzig Free State (Freistaat Danzig) - List of Clubs 1923
/tablesd/darsalaam97.html,1/2,Dar es Salaam Friendly Tournament 1997
/tablesd/daudi12.html,3/3,Audi Football Summit 2012 - Delhi
/tablesd/daugava-sier84.html,2/2,Daugava Riga (USSR) tour of Sierra Leone 1984
/tablesd/davidcappelletti.html,1/2,Memorial David Cappelletti in Mantova
/tablesd/dbu100.html,1/3,Dansk Boldspil Union 100th Anniversary Tournament (Denmark 1989)
/tablesd/dbu50-39.html,1/2,Danish FA 50th Anniversary Tournament 1939
/tablesd/dcm85.html,1/2,DCM Trophy 1984 (New Delhi)
/tablesd/dcwsc2015.html,1/1,Dutch Caribbean Women Soccer Cup
/tablesd/ddr-arabtour67.html,1/2,"East Germany national team tour of Egypt, Sudan, and Iraq, 1967"
/tablesd/ddr-argtour81.html,3/3,East Germany Trip to Argentina 1981
/tablesd/ddr-intres.html,9/8,East Germany - International Results 1952-1990
/tablesd/ddr-names.html,2/2,East Germany - Name Changes
/tablesd/ddr-ol64.html,4/5,East Germany build up to the 1964 Olympic Games
/tablesd/ddr-wc-ec.html,1/6,East Germany - World Cup and European Championship
/tablesd/ddr-wom73.html,4/1,East Germany (Women) 1973
/tablesd/ddr-wom74.html,5/2,East Germany (Women) 1974
/tablesd/ddr-wom78.html,5/2,East Germany (Women) 1978
/tablesd/ddr-wom79.html,5/4,East Germany (Women) 1979
/tablesd/ddr-wom80.html,5/4,East Germany (Women) 1980
/tablesd/ddr-wom81.html,5/4,East Germany (Women) 1981
/tablesd/ddr-wom82.html,5/4,East Germany (Women) 1982
/tablesd/ddr-wom83.html,5/3,East Germany (Women) 1983
/tablesd/ddr-wom84.html,5/3,East Germany (Women) 1984
/tablesd/ddr-wom85.html,5/4,East Germany (Women) 1985
/tablesd/ddr-wom86.html,5/4,East Germany (Women) 1986
/tablesd/ddr-wom87.html,5/4,East Germany (Women) 1986/87
/tablesd/ddr-wom91.html,7/6,East Germany (Women) 1990/91
/tablesd/ddr-womchamp.html,11/16,East Germany - List of Women Champions
/tablesd/ddr-womcuphist.html,2/15,East Germany - List of Women Cup Winners
/tablesd/ddr-youthchamp.html,1/3,East Germany - Youth Championships
/tablesd/ddr2alltime.html,1/2,East Germany - All-Time Table 2nd Level
/tablesd/ddr2hist.html,2/50,East Germany Second Level
