path,links,title
/tablese/eaf-u14-04.html,0/1,?
/tablese/earth-seoul-u19-2024.html,0/1,?
/tablese/east-afr-friendship.html,0/3,?
/tablese/eastafrica-everton.html,1/2,East Africa - SportPesa Cup (Dar-es-Salaam)
/tablese/eastafrsup.html,7/3,East African Hedex Super Cup
/tablese/eastasia.html,12/12,East Asian Championship
/tablese/eastasia-wom.html,11/11,East Asian Women's Championship
/tablese/eastasia-wom05.html,4/3,EAFF Women's Cup 2005
/tablese/eastasia-wom08.html,5/4,EAFF Women's Cup 2008
/tablese/eastasia-wom2010.html,5/5,EAFF Women's Cup 2010
/tablese/eastasia-wom2013.html,5/5,EAFF Women's Cup 2013
/tablese/eastasia-wom2015.html,5/5,EAFF Women's Cup 2015
/tablese/eastasia-wom2017.html,5/5,East Asian Women's Championship 2017
/tablese/eastasia-wom2019.html,5/5,East Asian Women's Championship 2019
/tablese/eastasia-wom2022.html,5/4,East Asian Women's Championship 2022
/tablese/eastasia-wom2025.html,4/5,East Asian Women's Championship 2025
/tablese/eastasia03.html,3/2,East Asian Championship 2003
/tablese/eastasia05.html,5/4,East Asian Championship 2005
/tablese/eastasia08.html,5/5,East Asian Championship 2008
/tablese/eastasia2010.html,5/5,East Asian Championship 2010
/tablese/eastasia2013.html,5/5,East Asian Championship 2013
/tablese/eastasia2015.html,5/5,East Asian Championship 2015
/tablese/eastasia2017.html,5/5,East Asian Championship 2017
/tablese/eastasia2019.html,5/5,East Asian Championship 2019
/tablese/eastasia2022.html,5/4,East Asian Championship 2022
/tablese/eastasia2025.html,4/5,East Asian Championship 2025
/tablese/eastasiagames.html,9/10,East Asian (Youth) Games
/tablese/eastasiagames01.html,4/4,East Asian Games 2001
/tablese/eastasiagames05.html,4/3,East Asian Games 2005
/tablese/eastasiagames09.html,4/3,East Asian Games 2009
/tablese/eastasiagames2013.html,5/5,East Asian Games 2013
/tablese/eastasiagames93.html,3/4,East Asian Games 1993
/tablese/eastasiagames97.html,4/4,East Asian Games 1997
/tablese/eastasiawomgames2013.html,4/4,East Asian Games 2013 (Women's Tournament)
/tablese/eastasiaygames2023.html,4/5,East Asian Youth Games 2023
/tablese/eastcentrafr.html,4/15,East and Central African Championship (CECAFA)
/tablese/eastern-tours.html,1/2,Eastern (Hong Kong) - Tours 1957-1960
/tablese/ec-u16-00.html,4/3,European U-16 Championship 2000
/tablese/ec-u16-01.html,4/3,European U-16 Championship 2001
/tablese/ec-u16-02.html,5/4,European U-17 Championship 2002
/tablese/ec-u16-02det.html,3/2,European U-17 Championship 2002 - Final Tournament Details
/tablese/ec-u16-03.html,4/3,European U-17 Championship 2003
/tablese/ec-u16-04.html,4/3,European U-17 Championship 2004
/tablese/ec-u16-05.html,4/4,European U-17 Championship 2005
/tablese/ec-u16-82.html,3/2,European U-16 Championship 1982
/tablese/ec-u16-84.html,4/3,European U-16 Championship 1984
/tablese/ec-u16-85.html,4/3,European U-16 Championship 1985
/tablese/ec-u16-86.html,4/3,European U-16 Championship 1986
/tablese/ec-u16-87.html,4/3,European U-16 Championship 1987
/tablese/ec-u16-88.html,4/3,European U-16 Championship 1988
/tablese/ec-u16-89.html,4/3,European U-16 Championship 1989
/tablese/ec-u16-90.html,4/3,European U-16 Championship 1990
/tablese/ec-u16-91.html,4/3,European U-16 Championship 1991
/tablese/ec-u16-92.html,4/3,European U-16 Championship 1992
/tablese/ec-u16-93.html,4/3,European U-16 Championship 1993
/tablese/ec-u16-94.html,4/4,European U-16 Championship 1994
/tablese/ec-u16-95.html,4/4,European U-16 Championship 1995
/tablese/ec-u16-96.html,4/4,European U-16 Championship 1996
/tablese/ec-u16-97.html,4/4,European U-16 Championship 1997
/tablese/ec-u16-98.html,4/4,European U-16 Championship 1998
/tablese/ec-u16-99.html,4/4,European U-16 Championship 1999
/tablese/ec-u17-06.html,4/3,European U-17 Championship 2006
/tablese/ec-u17-07.html,4/3,European U-17 Championship 2007
/tablese/ec-u17-08.html,4/3,European U-17 Championship 2008
