path,links,title
/tablesg/g14-youthcup07.html,1/1,Champions Youth Cup 2007 (Malaysia)
/tablesg/gab-fourn99.html,0/1,?
/tablesg/gab-intres.html,2/3,Gabon - List of International Matches
/tablesg/gab-intres-detwcq.html,2/2,Gabon - Details of World Cup Matches
/tablesg/gab-wom09.html,0/1,?
/tablesg/gab-wom2015.html,0/1,?
/tablesg/gab-wom2016.html,0/1,?
/tablesg/gab-wom2017.html,0/2,?
/tablesg/gab-wom2018.html,4/2,Gabon (Women) 2018
/tablesg/gab-wom2019.html,0/2,?
/tablesg/gab-wom2020.html,0/1,?
/tablesg/gab-wom2023.html,3/2,Gabon (Women) 2023/24
/tablesg/gab-womchamp.html,8/4,Gabon - List of Women Champions
/tablesg/gab00.html,5/4,Gabon 2000
/tablesg/gab01.html,5/5,Gabon 2001
/tablesg/gab02.html,5/5,Gabon 2002
/tablesg/gab03.html,5/5,Gabon 2003
/tablesg/gab04.html,5/5,Gabon 2004
/tablesg/gab05.html,5/5,Gabon 2005
/tablesg/gab06.html,5/4,Gabon 2006
/tablesg/gab07.html,5/4,Gabon 2006/07
/tablesg/gab08.html,5/5,Gabon 2007/08
/tablesg/gab09.html,5/5,Gabon 2008/09
/tablesg/gab2010.html,5/5,Gabon 2009/10
/tablesg/gab2011.html,5/4,Gabon 2010/11
/tablesg/gab2012.html,5/5,Gabon 2011/12
/tablesg/gab2013.html,5/5,Gabon 2012/13
/tablesg/gab2014.html,5/4,Gabon 2013/14
/tablesg/gab2015.html,5/5,Gabon 2015
/tablesg/gab2016.html,5/5,Gabon 2015/16
/tablesg/gab2017.html,5/4,Gabon 2016/17
/tablesg/gab2018.html,5/4,Gabon 2018
/tablesg/gab2019.html,5/5,Gabon 2019
/tablesg/gab2020.html,5/6,Gabon 2020
/tablesg/gab2022.html,5/4,Gabon 2022
/tablesg/gab2023.html,5/4,Gabon 2022/23
/tablesg/gab2024.html,5/2,Gabon 2023/24
/tablesg/gab2025.html,5/4,Gabon 2024/25
/tablesg/gab2026.html,4/4,Gabon 2026
/tablesg/gab77.html,4/3,Gabon 1976/77
/tablesg/gab78.html,5/4,Gabon 1977/78
/tablesg/gab79.html,5/4,Gabon 1978/79
/tablesg/gab80.html,5/3,Gabon 1979/80
/tablesg/gab81.html,5/3,Gabon 1980/81
/tablesg/gab82.html,5/3,Gabon 1981/82
/tablesg/gab83.html,5/3,Gabon 1982/83
/tablesg/gab84.html,5/4,Gabon 1983/84
/tablesg/gab85.html,5/4,Gabon 1984/85
/tablesg/gab86.html,5/5,Gabon 1985/86
/tablesg/gab87.html,6/6,Gabon 1986/87
/tablesg/gab88.html,6/6,Gabon 1987/88
/tablesg/gab89.html,5/4,Gabon 1988/89
/tablesg/gab90.html,5/5,Gabon 1989/90
/tablesg/gab91.html,5/5,Gabon 1990/91
/tablesg/gab92.html,5/5,Gabon 1991/92
/tablesg/gab93.html,5/4,Gabon 1993
/tablesg/gab94.html,5/4,Gabon 1994
/tablesg/gab95.html,5/3,Gabon 1995
/tablesg/gab96.html,5/5,Gabon 1996
/tablesg/gab97.html,5/4,Gabon 1997
/tablesg/gab98.html,5/4,Gabon 1998
/tablesg/gab99.html,5/5,Gabon 1999
/tablesg/gabchamp.html,50/51,Gabon - List of Champions
/tablesg/gabcuphist.html,36/52,Gabon - List of Cup Winners
/tablesg/gabfound.html,1/2,Gabon - Foundation Dates of Clubs
/tablesg/gacetatuc93.html,0/2,?
/tablesg/gacetatuc94.html,0/3,?
/tablesg/gak-indo54.html,6/4,Grazer AK tour of South East Asia 1954
/tablesg/gala-int66.html,1/2,Gala International du Football 1966 (Switzerland)
/tablesg/galafraswi83.html,1/2,Gala Match at the Fêtes Franco-Suisses 1983 (Switzerland)
/tablesg/galapagos-wom2021.html,0/1,?
/tablesg/galapagos-wom2022.html,2/1,Galapagos Islands (Women) 2022
/tablesg/galapagos2025.html,0/1,?
/tablesg/galapagos2026.html,2/1,Galapagos Islands 2026
/tablesg/galapagosfound.html,1/1,Galapagos Islands - List of Foundation Dates
/tablesg/galicia-intres.html,1/2,Galicia Autonomous Team Matches
/tablesg/galleta.html,1/2,Trofeo de la Galleta (Aguilar de Campoo)
/tablesg/gallo-women00.html,0/1,?
/tablesg/gamb-intres.html,1/2,Gambia - List of International Matches
/tablesg/gamb-wom01.html,0/1,?
/tablesg/gamb-wom02.html,0/1,?
/tablesg/gamb-wom04.html,0/1,?
/tablesg/gamb-wom05.html,0/2,?
/tablesg/gamb-wom06.html,0/1,?
/tablesg/gamb-wom07.html,0/1,?
/tablesg/gamb-wom08.html,0/1,?
/tablesg/gamb-wom09.html,0/1,?
/tablesg/gamb-wom2010.html,0/1,?
/tablesg/gamb-wom2011.html,0/1,?
/tablesg/gamb-wom2012.html,0/1,?
/tablesg/gamb-wom2014.html,0/1,?
/tablesg/gamb-wom2015.html,0/2,?
/tablesg/gamb-wom2016.html,0/2,?
/tablesg/gamb-wom2017.html,0/2,?
/tablesg/gamb-wom2018.html,0/3,?
/tablesg/gamb-wom2019.html,5/3,Gambia Women 2018/19
/tablesg/gamb-wom2020.html,0/3,?
/tablesg/gamb-wom2021.html,5/3,Gambia Women 2020/21
/tablesg/gamb-wom2022.html,5/4,Gambia Women 2021/22
/tablesg/gamb-wom2023.html,5/4,Gambia Women 2022/23
/tablesg/gamb-wom2024.html,5/5,Gambia Women 2023/24
/tablesg/gamb-wom2025.html,5/5,Gambia Women 2024/25
/tablesg/gamb-wom2026.html,4/5,Gambia Women 2025/26
/tablesg/gamb-womchamp.html,25/9,Gambia - List of Women Champions
/tablesg/gamb-womcuphist.html,10/9,Gambia - List of Women Cup Winners
/tablesg/gamb00.html,5/5,Gambia 1999/2000
/tablesg/gamb01.html,5/5,Gambia 2001
/tablesg/gamb02.html,5/4,Gambia 2002
/tablesg/gamb03.html,5/5,Gambia 2002/03
