path,links,title
/tablesh/haelsing-u18.html,1/2,U-18 Hälsingland Tournament (Sweden)
/tablesh/hafen-hamburg.html,1/1,Hafenpokal Hamburg
/tablesh/haiti-intres.html,1/2,Haiti - List of International Matches
/tablesh/haiti-inttourn97.html,1/2,International Tournament Haiti 1997
/tablesh/haiti-tri56.html,1/2,Triangular Tournament (Port-au-Prince) 1956
/tablesh/haiti-wom01.html,4/2,Haiti Women 2001
/tablesh/haiti-wom02.html,4/3,Haiti Women 2002
/tablesh/haiti-wom03.html,4/3,Haiti Women 2003
/tablesh/haiti-wom04.html,4/3,Haiti Women 2004
/tablesh/haiti-wom05.html,4/3,Haiti Women 2005
/tablesh/haiti-wom06.html,4/3,Haiti Women 2005/06
/tablesh/haiti-wom08.html,4/3,Haiti Women 2007/08
/tablesh/haiti-wom09.html,4/3,Haiti Women 2009
/tablesh/haiti-wom2010.html,4/4,Haiti Women 2010/11
/tablesh/haiti-wom2012.html,4/3,Haiti Women 2011/12
/tablesh/haiti-wom2013.html,4/3,Haiti Women 2012/13
/tablesh/haiti-wom2014.html,4/3,Haiti Women 2013/14
/tablesh/haiti-wom2015.html,4/3,Haiti Women 2015
/tablesh/haiti-wom2016.html,4/3,Haiti Women 2016
/tablesh/haiti-wom2019.html,4/3,Haiti Women 2018
/tablesh/haiti-wom2019a.html,4/3,Haiti Women 2019
/tablesh/haiti-wom2020.html,4/3,Haiti Women 2020/21
/tablesh/haiti-wom2022.html,3/3,Haiti Women 2022
/tablesh/haiti-wom77.html,3/1,Haiti Women 1977
/tablesh/haiti-womchamp.html,18/20,Haiti - List of Women Champions
/tablesh/haiti00.html,5/4,Haiti 2000
/tablesh/haiti01.html,5/4,Haiti 2001
/tablesh/haiti02.html,5/4,Haiti 2002
/tablesh/haiti03.html,5/4,Haiti 2003
/tablesh/haiti04.html,5/3,Haiti (Cups) 2004
/tablesh/haiti05.html,5/4,Haiti 2004/05
/tablesh/haiti06.html,5/5,Haiti 2005/06
/tablesh/haiti07.html,5/5,Haiti 2007
/tablesh/haiti08.html,5/5,Haiti 2008
/tablesh/haiti09.html,5/5,Haiti 2009
/tablesh/haiti13.html,4/2,Haiti 1913
/tablesh/haiti2010.html,6/5,Haiti 2010/11
/tablesh/haiti2011.html,6/5,Haiti 2011
/tablesh/haiti2012.html,6/5,Haiti 2012
/tablesh/haiti2013.html,6/5,Haiti 2013
/tablesh/haiti2014.html,6/6,Haiti 2014
/tablesh/haiti2015.html,6/5,Haiti 2015
/tablesh/haiti2016.html,6/4,Haiti 2016
/tablesh/haiti2017.html,6/4,Haiti 2017
/tablesh/haiti2018.html,6/5,Haiti 2018
/tablesh/haiti2019.html,6/4,Haiti 2019
/tablesh/haiti2020.html,6/4,Haiti 2020
/tablesh/haiti2021.html,6/4,Haiti 2020/21
/tablesh/haiti2024.html,6/4,Haiti 2024
/tablesh/haiti2025.html,6/4,Haiti 2025
/tablesh/haiti2026.html,5/4,Haiti 2025/26
/tablesh/haiti24.html,5/3,Haiti 1924
/tablesh/haiti25b.html,5/3,Haiti 1925
/tablesh/haiti26.html,5/3,Haiti 1926
/tablesh/haiti31.html,5/3,Haiti 1931
/tablesh/haiti32.html,5/4,Haiti 1931/32
/tablesh/haiti35.html,5/3,Haiti 1935
/tablesh/haiti43.html,5/3,Haiti 1942/43
/tablesh/haiti47.html,5/3,Haiti 1947
/tablesh/haiti50.html,5/3,Haiti 1950
/tablesh/haiti51.html,5/3,Haiti 1950/51
/tablesh/haiti54.html,5/3,Haiti 1954
/tablesh/haiti56.html,5/2,Haiti 1955/56
/tablesh/haiti70.html,5/3,Haiti 1970
/tablesh/haiti75.html,5/3,Haiti 1975
/tablesh/haiti77.html,5/2,Haiti 1977
/tablesh/haiti89.html,5/3,Haiti 1988/89
/tablesh/haiti90.html,5/2,Haiti 1989/90
/tablesh/haiti91.html,5/3,Haiti 1990/91
/tablesh/haiti92.html,5/3,Haiti 1992/93
/tablesh/haiti93.html,5/3,Haiti 1993/94
/tablesh/haiti97.html,5/3,Haiti 1997
/tablesh/haiti99.html,5/4,Haiti 1999
/tablesh/haitichamp.html,46/52,Haiti - List of Champions
/tablesh/haiticuphist.html,15/50,Haiti - List of Cup Winners
/tablesh/haitifound.html,2/17,Haiti - List of Foundation Dates
/tablesh/hajduk-satrip31.html,1/3,American Trip of Hajduk Split 1931
/tablesh/hajduk-satrip53.html,1/3,South American Trip of Hajduk Split 1953
/tablesh/hajduk-split.html,2/3,Hajduk Split
/tablesh/hajduk-split-wwii.html,2/2,Hajduk Split during World War II
/tablesh/hakoah-satrip30.html,3/4,South American Trip of Hakoah All-Stars 1930
/tablesh/hakoahwien-cucos31.html,3/3,Hakoah Wien Tour to Cuba and Costa Rica 1931
/tablesh/hakoahwien-nam26.html,4/4,Hakoah Wien Tour to North America 1926
/tablesh/hakoahwien-pales2425.html,2/3,Hakoah Wien tours to Palestine 1924 and 1925
/tablesh/hakoahzuerich50-71.html,1/2,50th Aniversary of SC Hakoah Zürich 1971 (Switzerland)
/tablesh/haldengut.html,1/2,Haldengut Cup (Winterthur)
/tablesh/hamburg52.html,1/2,Osterturnier Hamburg 1952
/tablesh/hampstead93.html,1/2,Hampstead Cup 1993
/tablesh/hannover-mextour57.html,1/2,Mexican Tour of Hannover 96 1957
/tablesh/hanskaspar.html,1/2,Hans Kaspar Cup (Switzerland)
/tablesh/haro.html,1/2,Trofeo Luis de la Fuente (Haro-Rioja)
/tablesh/hassanii.html,4/4,King Hassan II Tournament
/tablesh/hassanii-00.html,3/3,King Hassan II Tournament 2000
/tablesh/hassanii-96.html,3/4,King Hassan II Tournament 1996
/tablesh/hassanii-98.html,4/5,King Hassan II Tournament 1998
/tablesh/havelange-u17.html,1/1,Copa João Havelange (U-17)
/tablesh/havenrdam07.html,1/1,Port of Rotterdam Tournament 2007
/tablesh/hawaii-wom08.html,3/3,Hawaii (Women) 2008
/tablesh/hawaii-wom09.html,3/3,Hawaii (Women) 2009
/tablesh/hawaii-wom1905.html,2/1,Hawaii (Women) 1905
/tablesh/hawaii-wom2010.html,3/3,Hawaii (Women) 2010
/tablesh/hawaii-wom2011.html,3/3,Hawaii (Women) 2011
/tablesh/hawaii-wom2012.html,3/3,Hawaii (Women) 2012
/tablesh/hawaii-wom2013.html,4/3,Hawaii (Women) 2013
/tablesh/hawaii-wom2014.html,3/3,Hawaii (Women) 2014
/tablesh/hawaii-wom2015.html,3/3,Hawaii (Women) 2015
/tablesh/hawaii-wom2016.html,3/3,Hawaii (Women) 2016
/tablesh/hawaii-wom2017.html,3/3,Hawaii (Women) 2017
/tablesh/hawaii-wom2018.html,3/3,Hawaii (Women) 2018
/tablesh/hawaii-wom2019.html,4/3,Hawaii (Women) 2019
/tablesh/hawaii-wom2020.html,4/3,Hawaii (Women) 2019/20
/tablesh/hawaii-wom2021.html,4/3,Hawaii (Women) 2021
/tablesh/hawaii-wom2022.html,4/3,Hawaii (Women) 2022
/tablesh/hawaii-wom2024.html,3/3,Hawaii (Women) 2023/24
/tablesh/hawaii-wom72.html,3/2,Hawaii (Women) 1972
/tablesh/hawaii-womchamp.html,17/7,Hawaii - List of Women Champions (Oahu)
/tablesh/hawaii00.html,4/3,Hawaii 1999/00
/tablesh/hawaii01.html,4/3,Hawaii 2000/01
/tablesh/hawaii02.html,4/3,Hawaii 2001/02
/tablesh/hawaii03.html,4/3,Hawaii 2002/03
/tablesh/hawaii05a.html,4/3,Hawaii 2005/06
/tablesh/hawaii06.html,4/3,Hawaii 2006/07
/tablesh/hawaii08.html,4/3,Hawaii 2007/08
/tablesh/hawaii09.html,4/4,Hawaii 2008/09
/tablesh/hawaii1901.html,3/3,Hawaii 1901
/tablesh/hawaii1902.html,4/3,Hawaii 1901/02
/tablesh/hawaii1903.html,4/3,Hawaii 1902/03
/tablesh/hawaii1904.html,4/3,Hawaii 1903/04
/tablesh/hawaii1905.html,4/3,Hawaii 1904/05
/tablesh/hawaii1906.html,4/3,Hawaii 1906
/tablesh/hawaii1907.html,4/4,Hawaii 1906/07
/tablesh/hawaii1908.html,4/3,Hawaii 1907/08
/tablesh/hawaii1909.html,4/4,Hawaii 1908/09
/tablesh/hawaii1910.html,4/3,Hawaii 1909/10
/tablesh/hawaii1911.html,4/4,Hawaii 1910/11
/tablesh/hawaii1912.html,4/3,Hawaii 1911/12
/tablesh/hawaii1913.html,4/4,Hawaii 1912/13
/tablesh/hawaii1914.html,4/4,Hawaii 1913/14
/tablesh/hawaii1920.html,4/3,Hawaii 1920
/tablesh/hawaii1921.html,4/3,Hawaii 1920/21
/tablesh/hawaii1922.html,4/3,Hawaii 1921/22
/tablesh/hawaii1923.html,4/3,Hawaii 1923
/tablesh/hawaii1928.html,4/3,Hawaii 1928
/tablesh/hawaii1930.html,4/3,Hawaii 1930
/tablesh/hawaii1931.html,4/2,Hawaii 1931
/tablesh/hawaii1935.html,4/3,Hawaii 1935
/tablesh/hawaii1936.html,4/3,Hawaii 1936
/tablesh/hawaii1937.html,4/3,Hawaii 1937
/tablesh/hawaii1938.html,4/3,Hawaii 1938
/tablesh/hawaii1939.html,4/3,Hawaii 1939
/tablesh/hawaii1940.html,4/3,Hawaii 1940
/tablesh/hawaii1941.html,4/3,Hawaii 1941
/tablesh/hawaii2010.html,4/4,Hawaii 2009/10
/tablesh/hawaii2011.html,4/3,Hawaii 2010/11
/tablesh/hawaii2012.html,4/3,Hawaii 2011/12
/tablesh/hawaii2013.html,4/3,Hawaii 2012/13
/tablesh/hawaii2014.html,4/3,Hawaii 2013/14
/tablesh/hawaii2015.html,4/3,Hawaii 2014/15
/tablesh/hawaii2016.html,4/2,Hawaii 2015/16
/tablesh/hawaii2017.html,4/3,Hawaii 2016/17
/tablesh/hawaii2018.html,4/3,Hawaii 2017/18
/tablesh/hawaii2019.html,4/3,Hawaii 2018/19
/tablesh/hawaii2020.html,4/3,Hawaii 2019/20
/tablesh/hawaii2022.html,4/4,Hawaii 2021/22
/tablesh/hawaii2023.html,4/4,Hawaii 2022/23
/tablesh/hawaii2024.html,4/4,Hawaii 2023/24
/tablesh/hawaii2025.html,3/4,Hawaii 2024/25
/tablesh/hawaii88.html,4/3,Hawaii 1988
/tablesh/hawaiichamp.html,52/54,Hawaii - List of Champions
/tablesh/hawaiifound.html,2/3,Hawaii - List of Foundation Dates
/tablesh/hb-eastafr86.html,1/2,"HB (Tórshavn, Faroe Islands) tour to Tanzania and Kenya 1986"
/tablesh/hcm-3cont99.html,1/2,Three Continents Cup (Than Po Ho Chi Minh) 1999
/tablesh/hcm-exim08.html,3/3,SJC Eximbank Cup 2008 (TP Ho Chi Minh)
/tablesh/hcmccup.html,5/13,Ho Chi Minh City Cups
/tablesh/hdedecker.html,3/5,Coupe Henri De Decker 1910-1913
/tablesh/hearts-nz76.html,2/2,Heart of Midlothian FC Tour of New Zealand 1976
/tablesh/hectorgomez.html,2/3,Copa Héctor Gómez
/tablesh/helder-maritiem.html,1/2,Den Helder Maritiem Toernooi
/tablesh/hellboy04.html,1/1,Trofeo Hellboy 2004 (Madrid)
/tablesh/helsingborg27.html,1/2,Tournament in Hälsingborg 1927
