path,links,title
/tablesj/jabaquara-argtrip64.html,1/3,Jabaquara AC (Santos) trip to Argentina 1964
/tablesj/jacksonjersey2019.html,1/1,Jacksons International Trophy 2019 (Jersey)
/tablesj/jadida89.html,1/2,El Jadida Tournament 1989 (Morocco)
/tablesj/jadranka.html,1/2,Jadranka Cup (Kup Jadranka) 1996-1999
/tablesj/jaibabrava79.html,1/2,Torneo Jaiba Brava 1979
/tablesj/jakarta-ann.html,4/6,Jakarta Anniversary Tournament (Indonesia)
/tablesj/jakarta-tri57.html,2/5,Djakarta triangular tournament 1957
/tablesj/jalaa71.html,1/2,Al-Jalaa Tournament (Libyan Evacuation Day Tournament) 1971
/tablesj/jalco.html,4/3,Jalco Cup 1951-1959
/tablesj/jam-indep65.html,1/2,Independence Football Festival (Jamaica) 1965
/tablesj/jam-intres.html,5/6,Jamaica - List of International Matches
/tablesj/jam-intres-det.html,2/1,Jamaica International Matches Details 1995-2000
/tablesj/jam-intres-det2.html,2/3,Jamaica International Matches Details 1998-2010
/tablesj/jam-intres-detgc.html,2/2,Jamaica - Details of Gold Cup Matches
/tablesj/jam-intres-detwcq.html,2/2,Jamaica - Details of World Cup Qualifiers
/tablesj/jam-wc.html,1/2,Jamaica- World Cup
/tablesj/jam-wom00.html,4/3,Jamaica (Women) 2000
/tablesj/jam-wom01.html,4/3,Jamaica (Women) 2001
/tablesj/jam-wom02.html,4/3,Jamaica (Women) 2002
/tablesj/jam-wom03.html,4/3,Jamaica (Women) 2003
/tablesj/jam-wom04.html,4/4,Jamaica (Women) 2004
/tablesj/jam-wom05.html,4/4,Jamaica (Women) 2005
/tablesj/jam-wom06.html,4/4,Jamaica (Women) 2006
/tablesj/jam-wom07.html,4/4,Jamaica (Women) 2007
/tablesj/jam-wom08.html,4/4,Jamaica (Women) 2008
/tablesj/jam-wom09.html,5/4,Jamaica (Women) 2009
/tablesj/jam-wom2010.html,5/4,Jamaica (Women) 2010
/tablesj/jam-wom2011.html,5/4,Jamaica (Women) 2011
/tablesj/jam-wom2012.html,5/5,Jamaica (Women) 2012
/tablesj/jam-wom2013.html,5/5,Jamaica (Women) 2013
/tablesj/jam-wom2014.html,5/5,Jamaica (Women) 2014
/tablesj/jam-wom2015.html,5/4,Jamaica (Women) 2015
/tablesj/jam-wom2016.html,5/4,Jamaica (Women) 2016
/tablesj/jam-wom2018.html,5/4,Jamaica (Women) 2018
/tablesj/jam-wom2020.html,5/5,Jamaica (Women) 2019/20
/tablesj/jam-wom2023.html,5/3,Jamaica (Women) 2022/23
/tablesj/jam-wom2024.html,5/3,Jamaica (Women) 2024
/tablesj/jam-wom2025.html,4/3,Jamaica (Women) 2025
/tablesj/jam-wom90.html,3/2,Jamaica (Women) 1989/90
/tablesj/jam-wom91.html,4/3,Jamaica (Women) 1990/91
/tablesj/jam-wom99.html,4/3,Jamaica (Women) 1999
/tablesj/jam-womchamp.html,26/26,Jamaica - List of Women Champions
/tablesj/jam-womcuphist.html,16/15,Jamaica - List of Women Cup Finals
/tablesj/jam00.html,5/6,Jamaica 1999/2000
/tablesj/jam01.html,5/6,Jamaica 2000/01
/tablesj/jam02.html,5/6,Jamaica 2001/02
/tablesj/jam03.html,5/7,Jamaica 2002/03
/tablesj/jam04.html,5/6,Jamaica 2003/04
/tablesj/jam05.html,5/6,Jamaica 2004/05
/tablesj/jam06.html,5/7,Jamaica 2005/06
/tablesj/jam07.html,5/7,Jamaica 2006/07
/tablesj/jam08.html,5/7,Jamaica 2007/08
/tablesj/jam09.html,5/7,Jamaica 2008/09
/tablesj/jam1899.html,5/2,Jamaica 1898/99
/tablesj/jam2010.html,5/7,Jamaica 2009/10
/tablesj/jam2011.html,5/7,Jamaica 2010/11
/tablesj/jam2012.html,5/7,Jamaica 2011/12
/tablesj/jam2013.html,5/7,Jamaica 2012/13
/tablesj/jam2014.html,5/7,Jamaica 2013/14
/tablesj/jam2015.html,5/7,Jamaica 2014/15
/tablesj/jam2016.html,5/7,Jamaica 2015/16
/tablesj/jam2017.html,5/6,Jamaica 2016/17
/tablesj/jam2018.html,5/7,Jamaica 2017/18
/tablesj/jam2019.html,5/6,Jamaica 2018/19
/tablesj/jam2020.html,5/6,Jamaica 2019/20
/tablesj/jam2021.html,5/4,Jamaica 2021
/tablesj/jam2022.html,4/4,Jamaica 2022
/tablesj/jam2023.html,5/3,Jamaica 2022/23
/tablesj/jam2024.html,5/4,Jamaica 2023/24
/tablesj/jam2025.html,5/4,Jamaica 2024/25
/tablesj/jam2026.html,4/4,Jamaica 2025/26
/tablesj/jam34.html,5/4,Jamaica 1933/34
/tablesj/jam52.html,5/5,Jamaica 1951/51
/tablesj/jam59.html,5/2,Jamaica 1959
/tablesj/jam70.html,5/3,Jamaica 1969/70
/tablesj/jam71.html,5/3,Jamaica 1970/71
/tablesj/jam74.html,5/4,Jamaica 1973/74
/tablesj/jam75.html,5/4,Jamaica 1974/75
/tablesj/jam76.html,5/3,Jamaica 1975/76
/tablesj/jam77.html,5/6,Jamaica 1976/77
/tablesj/jam78.html,5/4,Jamaica 1977/78
/tablesj/jam79.html,6/3,Jamaica 1978/79
/tablesj/jam80.html,6/5,Jamaica 1979/80
/tablesj/jam81.html,5/2,Jamaica 1980/81
/tablesj/jam82.html,5/4,Jamaica 1981/82
/tablesj/jam83.html,5/4,Jamaica 1982/83
/tablesj/jam85.html,5/4,Jamaica 1984/85
/tablesj/jam97.html,5/5,Jamaica 1996/97
/tablesj/jam98.html,5/6,Jamaica 1997/98
/tablesj/jam99.html,5/5,Jamaica 1998/99
/tablesj/jamcas52.html,2/4,Caribbean All Stars Matches 1952 (Jamaica and Surinam)
/tablesj/jamchamp.html,42/50,Jamaica - List of Champions
/tablesj/jamcuphist.html,29/50,Jamaica - List of Cup Winners
/tablesj/jamesgate110-12.html,1/1,St. James' Gate FC 110th Anniversary Tournament 2012 – Dublin
/tablesj/jamfound.html,1/2,Jamaica - List of Foundation Dates
/tablesj/jamkchamp.html,35/3,Jamaica - List of KSAFA Champions
/tablesj/jamorbio08.html,1/1,Trofeo Jean Albert in Morbio (Switzerland)
/tablesj/jamparishchamp.html,20/2,Jamaica - List of Parish Champions
/tablesj/jamsupsoc82.html,1/2,"""Super Soccer Series"" triangular tournament 1982"
/tablesj/jap-eastgames42.html,2/4,East Asia Games 1942 (Hsinking)
/tablesj/jap-intres.html,7/9,Japan International Matches
/tablesj/jap-intres1950.html,3/3,Japan International Matches - Details 1951-1959
/tablesj/jap-intres1960.html,4/4,Japan International Matches - Details 1960-1969
/tablesj/jap-intres1970.html,4/4,Japan International Matches - Details 1970-1979
/tablesj/jap-intres1980.html,4/5,Japan International Matches - Details 1980-1989
/tablesj/jap-intres1990.html,4/4,Japan International Matches - Details 1990-1999
/tablesj/jap-intres2000.html,3/3,Japan International Matches - Details 2000-2009
/tablesj/jap-wom00.html,4/3,Japan (Women) 1999/00
/tablesj/jap-wom01.html,4/4,Japan (Women) 2000/01
/tablesj/jap-wom02.html,4/4,Japan (Women) 2001/02
/tablesj/jap-wom03.html,4/4,Japan (Women) 2002/03
/tablesj/jap-wom04.html,4/4,Japan (Women) 2003/04
/tablesj/jap-wom80.html,3/2,Japan (Women) 1980
/tablesj/jap-wom81.html,4/3,Japan (Women) 1981
/tablesj/jap-wom82.html,4/3,Japan (Women) 1982
/tablesj/jap-wom83.html,4/3,Japan (Women) 1983
/tablesj/jap-wom84.html,4/3,Japan (Women) 1984
/tablesj/jap-wom85.html,4/3,Japan (Women) 1985
/tablesj/jap-wom86.html,4/3,Japan (Women) 1986
/tablesj/jap-wom87.html,4/3,Japan (Women) 1987
/tablesj/jap-wom88.html,4/3,Japan (Women) 1988
/tablesj/jap-wom89.html,4/3,Japan (Women) 1989
/tablesj/jap-wom90.html,4/3,Japan (Women) 1989/90
/tablesj/jap-wom91.html,4/3,Japan (Women) 1990/91
/tablesj/jap-wom92.html,4/3,Japan (Women) 1991/92
/tablesj/jap-wom93.html,4/3,Japan (Women) 1992/93
/tablesj/jap-wom94.html,4/3,Japan (Women) 1993/94
/tablesj/jap-wom95.html,4/3,Japan (Women) 1994/95
/tablesj/jap-wom96.html,4/3,Japan (Women) 1995/96
/tablesj/jap-wom97.html,4/3,Japan (Women) 1996/97
/tablesj/jap-wom98.html,4/3,Japan (Women) 1997/98
/tablesj/jap-wom99.html,4/3,Japan (Women) 1998/99
/tablesj/jap-womchamp.html,47/49,Japan - List of Women Champions
/tablesj/jap00.html,8/10,Japan 2000
/tablesj/jap01.html,8/10,Japan 2001
/tablesj/jap02.html,8/10,Japan 2002
/tablesj/jap03.html,8/10,Japan 2003
/tablesj/jap04.html,9/10,Japan 2004
/tablesj/jap2600-40.html,5/4,2600th Anniversary of the Japanese Empire 1940 (Tokyo)
/tablesj/jap3-96.html,8/3,Japan Third and Lower Levels 1996
/tablesj/jap3-97.html,9/3,Japan Third and Lower Levels 1997
/tablesj/jap3-98.html,9/3,Japan Third and Lower Levels 1998
/tablesj/jap4-00.html,9/3,Japan Fourth and Lower Levels 2000
/tablesj/jap4-01.html,9/3,Japan Fourth and Lower Levels 2001
/tablesj/jap4-02.html,9/3,Japan Fourth and Lower Levels 2002
/tablesj/jap4-03.html,9/3,Japan Fourth and Lower Levels 2003
/tablesj/jap4-04.html,9/3,Japan Fourth and Lower Levels 2004
/tablesj/jap4-99.html,9/3,Japan Fourth and Lower Levels 1999
/tablesj/jap65.html,6/4,Japan 1965
/tablesj/jap66.html,7/5,Japan 1966
/tablesj/jap67.html,7/5,Japan 1967
/tablesj/jap68.html,7/5,Japan 1968
/tablesj/jap69.html,7/5,Japan 1969
/tablesj/jap70.html,7/5,Japan 1970
/tablesj/jap71.html,7/6,Japan 1971
/tablesj/jap72.html,7/6,Japan 1972
/tablesj/jap73.html,7/6,Japan 1973
/tablesj/jap74.html,7/6,Japan 1974
/tablesj/jap75.html,7/6,Japan 1975
/tablesj/jap76.html,7/7,Japan 1976
/tablesj/jap77.html,7/7,Japan 1977
/tablesj/jap78.html,7/7,Japan 1978
/tablesj/jap79.html,7/7,Japan 1979
/tablesj/jap80.html,7/7,Japan 1980
/tablesj/jap81.html,7/7,Japan 1981
/tablesj/jap82.html,7/7,Japan 1982
/tablesj/jap83.html,7/7,Japan 1983
/tablesj/jap84.html,7/7,Japan 1984
/tablesj/jap86.html,7/7,Japan 1985/86
/tablesj/jap87.html,7/7,Japan 1986/87
/tablesj/jap88.html,7/7,Japan 1987/88
/tablesj/jap89.html,7/8,Japan 1988/89
/tablesj/jap90.html,7/7,Japan 1989/90
/tablesj/jap91.html,7/7,Japan 1990/91
/tablesj/jap92.html,7/7,Japan 1991/92
/tablesj/jap93.html,7/7,Japan 1993
/tablesj/jap94.html,7/7,Japan 1994
/tablesj/jap95.html,8/6,Japan 1995
/tablesj/jap96.html,8/9,Japan 1996
/tablesj/jap97.html,8/10,Japan 1997
/tablesj/jap98.html,8/10,Japan 1998
/tablesj/jap99.html,8/10,Japan 1999
/tablesj/japan-seatour5859.html,1/2,Japan national team tour of South East Asia 1958-59
/tablesj/japan-tourn71.html,1/3,Tokyo International Tournament 1971
/tablesj/japchamp.html,62/79,Japan - List of Champions
/tablesj/japcuphist.html,62/81,Japan - List of Emperor's Cup Finals
/tablesj/japfound.html,1/2,Japan - List of Clubs Foundation Dates
/tablesj/japhist.html,7/79,Japan - List of Final Tables
/tablesj/japleagcuphist.html,49/42,Japan - List of League Cup Winners
/tablesj/japnames.html,1/2,Japan - Guide to Club Names
/tablesj/japoldempcuphist.html,2/2,Japan - Emperor's Cup 1921-1990
/tablesj/japskores.html,1/1,Japan-South Korea matches
/tablesj/japsupcuphist.html,13/80,Japan - List of Super Cup Finals
/tablesj/jardinrep74.html,1/2,Cuadrangular Jardín de la República (Tucumán) 1974
/tablesj/jarocin2012.html,1/1,Jarocin Turnieju 2012 – Jarocin (Poland)
/tablesj/jarritooro.html,1/2,Torneo Jarrito de Oro 1956-1963 (Ciudad de México)
/tablesj/jasson76.html,1/3,"Afghanistan Republic Day Festival Cup (Kabul, Afghanistan)"
/tablesj/javastad-alltime.html,3/3,Dutch East Indies - Stedenwedstrĳden - All-Time Tables
/tablesj/javatour-manila27.html,3/3,Java Tour of Manila 1927
/tablesj/jchinese-easiatrip48.html,1/2,Java Chinese tour of East Asia 1948
/tablesj/jericho00.html,1/1,Seventh Jericho Winter Tournament 2000
/tablesj/jerseyfa08.html,1/1,JFA International Football Tournament 2008 - Jersey
/tablesj/jfalbarran69.html,1/2,"Pentagonal Tournament ""Lic. Juan Fernández Albarrán"" 1969"
/tablesj/jfernandez-intres.html,1/1,Juan Fernández Islands - List of International Matches
/tablesj/jfernandez08.html,2/1,Juan Fernández Islands 2008
/tablesj/jfernandez2017.html,3/2,Juan Fernández Islands 2017
/tablesj/jfernandez2018.html,3/2,Juan Fernández Islands 2018
/tablesj/jfernandez2025.html,3/3,Juan Fernández Islands 2025
/tablesj/jfernandez2026.html,2/2,Juan Fernández Islands 2026
/tablesj/jgodfrey-wom2024.html,1/1,Womens Jerry Godfrey Cup 2024
/tablesj/jhavelange74.html,1/2,Cuadrangular Copa João Havelange 1974
/tablesj/jinbei2010.html,1/2,Jinbei Starfish Auto Series (China Olympic team) 2010
/tablesj/jktfa-sing53.html,1/2,Jakarta FA XI tour of Singapore 1953
/tablesj/jleague-intyouth.html,1/2,J.League International Youth Cup
/tablesj/jmbusha.html,1/1,"JM Busha Women's Tournament (Alexandra, Gauteng, South Africa)"
/tablesj/jnewbery64.html,1/2,Copa Jorge Newbery 1964
/tablesj/joangamper.html,1/11,Trofeo Joan Gamper
/tablesj/joaohavelange.html,1/4,João Havelange Trophy (Youth Tournament)
/tablesj/joaohavelange-sp66.html,2/3,Copa João Havelange (São Paulo) 1966
/tablesj/joaquinsegura.html,1/2,Trofeo Joaquín Segura (Tudela)
/tablesj/joeg-ec.html,2/2,Yugoslav teams in Eurocups
/tablesj/joeg-intl8889.html,0/1,Yugoslavia - Internationals 1988-1989
/tablesj/joeg-intres.html,18/14,Yugoslavia - List of International Matches
/tablesj/joeg-intres-intro.html,18/14,Yugoslavia National Team List of Results - Introduction Page
/tablesj/joeg-intres20.html,9/9,Yugoslavia National Team List of Results 1920-1929
