path,links,title
/tablesk/kaapv-boatacacamp.html,1/2,Taça dos Campeões Unitel T+ (Praia)
/tablesk/kaapv-intres.html,1/2,Cape Verde Islands - List of International Matches
/tablesk/kaapv-wom2011.html,0/2,?
/tablesk/kaapv-wom2012.html,4/2,Cape Verde Islands (Women) 2011/12
/tablesk/kaapv-wom2013.html,0/3,?
/tablesk/kaapv-wom2014.html,4/3,Cape Verde Islands (Women) 2013/14
/tablesk/kaapv-wom2015.html,4/4,Cape Verde Islands (Women) 2014/15
/tablesk/kaapv-wom2016.html,4/3,Cape Verde Islands (Women) 2015/16
/tablesk/kaapv-wom2017.html,0/3,?
/tablesk/kaapv-wom2018.html,4/3,Cape Verde Islands (Women) 2017/18
/tablesk/kaapv-wom2019.html,4/3,Cape Verde Islands (Women) 2018/19
/tablesk/kaapv-wom2021.html,0/2,?
/tablesk/kaapv-wom2022.html,0/2,?
/tablesk/kaapv-wom2023.html,4/3,Cape Verde Islands (Women) 2022/23
/tablesk/kaapv-wom2024.html,3/3,Cape Verde Islands (Women) 2023/24
/tablesk/kaapv-womchamp.html,14/10,Cape Verde Islands - List of Women Champions
/tablesk/kaapv00.html,4/5,Cape Verde Islands 2000
/tablesk/kaapv01.html,4/5,Cape Verde Islands 2001
/tablesk/kaapv02.html,4/5,Cape Verde Islands 2001/02
/tablesk/kaapv03.html,4/5,Cape Verde Islands 2002/03
/tablesk/kaapv04.html,4/5,Cape Verde Islands 2003/04
/tablesk/kaapv05.html,5/5,Cape Verde Islands 2004/05
/tablesk/kaapv06.html,5/5,Cape Verde Islands 2005/06
/tablesk/kaapv07.html,6/6,Cape Verde Islands 2006/07
/tablesk/kaapv08.html,5/5,Cape Verde Islands 2007/08
/tablesk/kaapv09.html,7/7,Cape Verde Islands 2008/09
/tablesk/kaapv09det.html,2/1,Cape Verde Islands 2009 - Match Details
/tablesk/kaapv2010.html,5/6,Cape Verde Islands 2009/10
/tablesk/kaapv2011.html,6/6,Cape Verde Islands 2010/11
