path,links,title
/tablesl/l-berlusconi.html,1/4,Trofeo Luigi Berlusconi
/tablesl/la-coli-indep2010.html,0/1,?
/tablesl/la-indep78.html,0/2,?
/tablesl/la-oro87.html,0/2,?
/tablesl/la-tourn83.html,8/13,Los Angeles Nations Cup 1983-1991
/tablesl/la-tourn84det.html,2/2,Columbus Cup (America's Nations Cup) 1984 Match Details
/tablesl/la-tourn85det.html,3/2,Los Angeles Nations Cup 1985 Match Details
/tablesl/labella2012.html,0/1,?
/tablesl/labour-intres.html,7/6,Labour International Matches Index
/tablesl/labourolympia.html,4/7,Labour Olympiads 1925-1937
/tablesl/labourparis.html,4/5,International Labour Tournaments (Paris) 1928-1938
/tablesl/labuan100.html,1/2,Labuan Centenary Cup (Labuan Sports Association)
/tablesl/lachauxdefonds-satrip55.html,1/3,South American Trip of FC La Chaux-de-Fonds 1955
/tablesl/lachinita05.html,0/1,?
/tablesl/laclass80.html,0/4,?
/tablesl/lacup83.html,0/2,?
/tablesl/ladymamiengan09.html,0/2,?
/tablesl/lagoa07.html,1/1,Torneio Cidade da Lagoa 2007
/tablesl/lagranja.html,1/2,"Trofeo San Luis (La Granja de San Ildefonso, Segovia)"
/tablesl/laguneroderby.html,1/2,Laguna v Torreón - Clásico Lagunero
/tablesl/lahti81.html,0/3,?
/tablesl/lahti93.html,2/2,Jalkapalloturnaus in Lahti 1993
/tablesl/lalibertad-cubatour29.html,1/2,Cuban Trip of CS La Libertad (Costa Rica) 1929
/tablesl/lalibertad-mextour35.html,1/2,Mexican Trip of CS La Libertad (Costa Rica) 1935
/tablesl/lalibertad-mextour53.html,1/2,Mexican Trip of CS La Libertad (Costa Rica) 1953
/tablesl/lalibertad-mextrip43.html,1/2,Mexican Trip of CS La Libertad (Costa Rica) 1943
/tablesl/lamanga.html,1/2,La Manga Cup (Spain)
/tablesl/lamanga-wom-u23-08.html,0/1,?
/tablesl/lamanga-youth.html,0/2,?
/tablesl/landen-intres.html,378/4,Lists of Full Internationals of National Teams
/tablesl/langreo.html,1/2,Trofeo Ayuntamiento de Langreo-Memorial Julio Álvarez Cadenas
/tablesl/lanus-boltrip53.html,1/2,Bolivian Trip of Lanús 1953
/tablesl/lanus-mextour56.html,1/2,Mexican Trip of CA Lanús (Buenos Aires) 1956
/tablesl/lanus-mextour57.html,1/2,Mexican Tour of CA Lanús (Buenos Aires) 1957
/tablesl/lanus-trip52.html,1/3,European Trip of CA Lanús 1951/52
/tablesl/lanus100-14.html,1/2,Club Atlético Lanús 100th Anniversary
/tablesl/laos-intres.html,2/2,Laos International Matches 1961-2000
/tablesl/laos-wom05.html,0/1,?
/tablesl/laos-wom06.html,0/1,?
/tablesl/laos-wom08.html,0/1,?
/tablesl/laos-wom2010.html,0/2,?
/tablesl/laos-wom2011.html,4/2,Laos Women 2011
/tablesl/laos-wom2012.html,0/3,?
/tablesl/laos-wom2022.html,4/2,Laos Women 2022
/tablesl/laos-wom2023.html,0/2,?
/tablesl/laos-wom2024.html,0/2,?
/tablesl/laos-wom2025.html,3/2,Laos Women 2025
/tablesl/laos-womchamp.html,11/4,Laos - List of Women Champions
/tablesl/laos00.html,5/4,Laos 2000
/tablesl/laos01.html,5/3,Laos 2001
/tablesl/laos02.html,5/3,Laos 2002
/tablesl/laos03.html,5/4,Laos 2003
/tablesl/laos04.html,5/5,Laos 2004
/tablesl/laos05.html,5/4,Laos 2005
/tablesl/laos06.html,5/4,Laos 2005/06
/tablesl/laos07.html,5/4,Laos 2006/07
/tablesl/laos08.html,5/4,Laos 2007/08
/tablesl/laos09.html,5/4,Laos 2008/09
/tablesl/laos2010.html,5/4,Laos 2010
/tablesl/laos2011.html,5/4,Laos 2011
/tablesl/laos2012.html,5/4,Laos 2012
/tablesl/laos2013.html,5/5,Laos 2013
/tablesl/laos2014.html,5/5,Laos 2014
/tablesl/laos2015.html,5/5,Laos 2015
/tablesl/laos2016.html,5/4,Laos 2016
/tablesl/laos2017.html,5/4,Laos 2017
/tablesl/laos2018.html,5/4,Laos 2018
/tablesl/laos2019.html,5/5,Laos 2019
/tablesl/laos2020.html,5/5,Laos 2020
/tablesl/laos2021.html,5/4,Laos 2021
/tablesl/laos2022.html,5/5,Laos 2022
/tablesl/laos2023.html,5/4,Laos 2023
/tablesl/laos2025.html,5/6,Laos 2024/25
/tablesl/laos2026.html,4/4,Laos 2025/26
/tablesl/laos36.html,5/1,Laos 1936
/tablesl/laos68.html,5/2,Laos 1968
/tablesl/laos91.html,5/3,Laos 1991
/tablesl/laos96.html,5/3,Laos 1996
/tablesl/laos98.html,5/3,Laos 1998
/tablesl/laoschamp.html,30/33,Laos - List of Champions
/tablesl/laoscuphist.html,18/34,Laos - List of Cup Winners
/tablesl/laosfound.html,1/2,Laos - List of Foundation Dates Clubs
/tablesl/lap-intres.html,2/3,Sápmi (Lapland) International Matches
/tablesl/lap-wom-intres.html,2/3,Sápmi (Lapland) International Women Matches
/tablesl/lapaz-tri04.html,0/1,?
/tablesl/lapaz64.html,0/5,?
/tablesl/lapazfa50-64.html,0/2,?
/tablesl/laplata13.html,0/2,?
/tablesl/laplata15.html,0/2,?
/tablesl/laplata42-24.html,0/3,?
/tablesl/laraza90.html,0/2,?
/tablesl/laredojuv.html,1/2,Trofeo Juvenil de Laredo (Cantabria)
/tablesl/laroda.html,1/2,"Trofeo Villa de La Roda (La Roda, Albacete)"
/tablesl/lasalle-arubatrip54.html,1/2,La Salle (Venezuela) Trip to Aruba 1954
/tablesl/laserena-wom-u20-08.html,0/1,?
/tablesl/lasesarre.html,1/2,Trofeo Lasesarre (Baracaldo)
/tablesl/lask-asia53.html,1/2,Linzer ASK (Austria) tour of Asia 1953
/tablesl/laspalmas-deportivo.html,1/2,U.D. Las Palmas - Deportivo de La Coruña - at Estadio Insular
/tablesl/laspalmas25-74.html,1/2,Torneo Bodas de Plata de la Unión Deportiva Las Palmas 1974
/tablesl/laspalmas88.html,0/2,?
/tablesl/latin.html,2/3,Latin Cup
/tablesl/latin-skorxitour87.html,0/2,?
/tablesl/latri79.html,0/2,?
/tablesl/latri80.html,0/2,?
/tablesl/lausanne-argtrip91.html,4/4,Lausanne-Sports Trip to Argentina 1991
/tablesl/lausanne-argtrip92.html,3/4,Lausanne-Sports Trip to Argentina 1992
/tablesl/lausanne-inaug47.html,1/2,Stadium Inauguration of Racing Lausanne - 1947
/tablesl/lausanne-juniors.html,1/2,Tournoi Juniors de Lausanne
/tablesl/lausanne-mini03.html,2/2,Mini Tournament - Lausanne - 2003
/tablesl/lausanne01.html,2/2,Mini Tournament - Lausanne - 2001
/tablesl/lausanne13.html,1/2,Tournoi du Congrès Olympique - Lausanne 1913
/tablesl/lausanne30.html,1/2,Friendly Tournament in Lausanne 1930
/tablesl/lausanne32.html,1/2,Challenge Devred - Lausanne 1932
/tablesl/lausanne34.html,1/2,Tournoi de Pâques in Lausanne 1934
/tablesl/lausanne50-46.html,1/2,50th Anniversary of Lausanne-Sports - 1946
/tablesl/lausanne55.html,1/2,Festival International in Lausanne and Genève - 1955
/tablesl/lavadores.html,1/2,Trofeo Lavadores (Vigo)
/tablesl/laval100-02.html,1/1,Centenaire du Laval 2002
/tablesl/lazaro.html,1/4,Trofeo Ciudad de Santiago
/tablesl/ldsutd95.html,0/1,?
/tablesl/leandronalem.html,0/2,?
/tablesl/leb-intres.html,3/6,Lebanon - List of International Matches
/tablesl/leb-intres-prehist.html,2/2,Lebanon - International Results - Early History
/tablesl/leb-intres9399.html,2/1,Lebanon International Matches 1993-99
/tablesl/leb-wom-intres.html,0/2,?
/tablesl/leb-wom08.html,0/2,?
/tablesl/leb-wom09.html,0/2,?
/tablesl/leb-wom2010.html,0/2,?
/tablesl/leb-wom2011.html,0/1,?
/tablesl/leb-wom2012.html,0/1,?
/tablesl/leb-wom2013.html,0/2,?
/tablesl/leb-wom2014.html,0/1,?
/tablesl/leb-wom2015.html,0/2,?
/tablesl/leb-wom2016.html,0/2,?
/tablesl/leb-wom2017.html,0/3,?
/tablesl/leb-wom2018.html,5/4,Lebanon (Women) 2017/18
/tablesl/leb-wom2019.html,5/5,Lebanon (Women) 2018/19
/tablesl/leb-wom2020.html,5/4,Lebanon (Women) 2019/20
/tablesl/leb-wom2021.html,5/6,Lebanon (Women) 2020/21
/tablesl/leb-wom2022.html,5/4,Lebanon (Women) 2021/22
/tablesl/leb-wom2023.html,5/4,Lebanon (Women) 2023
/tablesl/leb-wom2024.html,5/4,Lebanon (Women) 2023/24
/tablesl/leb-wom2025.html,4/3,Lebanon (Women) 2024/25
/tablesl/leb-womchamp.html,19/9,Lebanon - List of Women Champions
/tablesl/leb-womcuphist.html,11/9,Lebanon - List of Women Cup Winners
/tablesl/leb00.html,5/5,Lebanon 1999/2000
/tablesl/leb01.html,5/5,Lebanon 2000/01
/tablesl/leb02.html,5/5,Lebanon 2001/02
/tablesl/leb03.html,5/5,Lebanon 2002/03
/tablesl/leb04.html,5/5,Lebanon 2003/04
/tablesl/leb05.html,5/5,Lebanon 2004/05
/tablesl/leb06.html,6/5,Lebanon 2005/06
/tablesl/leb07.html,6/5,Lebanon 2006/07
/tablesl/leb08.html,6/5,Lebanon 2007/08
/tablesl/leb09.html,6/5,Lebanon 2008/09
/tablesl/leb2010.html,6/5,Lebanon 2009/10
/tablesl/leb2011.html,6/5,Lebanon 2010/11
/tablesl/leb2012.html,6/5,Lebanon 2011/12
/tablesl/leb2013.html,6/5,Lebanon 2012/13
/tablesl/leb2014.html,6/5,Lebanon 2013/14
/tablesl/leb2015.html,6/5,Lebanon 2014/15
/tablesl/leb2016.html,6/5,Lebanon 2015/16
/tablesl/leb2017.html,6/5,Lebanon 2016/17
