path,links,title
/tablesn/nacional-argtrip23.html,1/3,Club Nacional (Montevideo) Trip to Argentina 1923
/tablesn/nacional-argtrip26.html,2/3,Club Nacional (Asunción) Trip to Argentina 1926
/tablesn/nacional-argtrip43.html,2/3,Club Nacional (Asunción) Trip to Argentina 1943
/tablesn/nacional-ros-satrip34.html,1/4,South American Trip of Nacional (Rosario) 1934
/tablesn/nacional-trip25.html,2/2,European trip of Club Nacional de Football 1925
/tablesn/nacional-trip25det.html,0/2,?
/tablesn/naciones64.html,0/2,?
/tablesn/naciones64det.html,0/1,?
/tablesn/naefels.html,1/2,Näfels Turnier (Switzerland)
/tablesn/naegeli80.html,1/2,Edi Naegeli Gedenkturnier - Zürich - 1980
/tablesn/nafrchamp.html,52/43,North African Champions Cup
/tablesn/nafrcup09.html,6/5,North African Club Competitions 2008/09
/tablesn/nafrcup2010.html,5/4,North African Club Competitions 2009/10
/tablesn/nafrcup2011.html,4/3,North African Club Competitions 2010/11
/tablesn/nafrcwc.html,6/9,North African Cup
/tablesn/nafrnewchamp.html,5/5,UNAF Champions Cup
/tablesn/nafrnewcwc.html,5/5,UNAF Cup Winners Cup
/tablesn/nagjee.html,3/3,Sait Nagjee Trophy
/tablesn/nagkar04.html,3/2,Nagorno-Karabakh 2004
/tablesn/nagkar09.html,4/4,Nagorno-Karabakh 2009
/tablesn/nagkar2010.html,4/3,Nagorno-Karabakh 2010
/tablesn/nagkar2011.html,4/3,Nagorno-Karabakh 2011
/tablesn/nagkar2018.html,4/4,Nagorno-Karabakh 2018
/tablesn/nagkar2019.html,5/5,Nagorno-Karabakh 2019
/tablesn/nagkar2021.html,3/4,Nagorno-Karabakh 2021
/tablesn/nagkarchamp.html,8/9,Nagorno-Karabakh - List of Champions
/tablesn/nagkarfound.html,1/2,Nagorno-Karabakh - List of Foundation Dates
/tablesn/nam-indigenous02.html,0/1,?
/tablesn/nami-intres.html,3/3,Namibia International Matches
/tablesn/nami-intres-detwcq.html,2/2,Namibia - Details of World Cup Matches
/tablesn/nami-intres0009.html,2/3,Namibia - Details of International Matches
/tablesn/nami-prewwi.html,4/4,South West Africa (Namibia) 1913-1914
/tablesn/nami-wom05.html,0/1,?
/tablesn/nami-wom07.html,0/1,?
/tablesn/nami-wom08.html,0/1,?
/tablesn/nami-wom09.html,0/1,?
/tablesn/nami-wom2010.html,0/1,?
/tablesn/nami-wom2012.html,0/1,?
/tablesn/nami-wom2013.html,0/1,?
/tablesn/nami-wom2016.html,0/1,?
/tablesn/nami-wom2019.html,0/1,?
/tablesn/nami-wom2023.html,0/2,?
/tablesn/nami-wom2024.html,4/2,Namibia (Women) 2024
/tablesn/nami-wom2025.html,0/3,?
/tablesn/nami-wom2026.html,3/3,Namibia (Women) 2025/26
/tablesn/nami-womchamp.html,14/4,Namibia - List of Women Champions
/tablesn/nami00.html,5/5,Namibia 2000
/tablesn/nami02.html,5/4,Namibia 2001/02
/tablesn/nami03.html,5/5,Namibia 2002/03
/tablesn/nami04.html,5/4,Namibia 2003/04
/tablesn/nami05.html,6/6,Namibia 2004/05
/tablesn/nami06.html,5/5,Namibia 2005/06
/tablesn/nami07.html,5/5,Namibia 2006/07
/tablesn/nami08.html,5/5,Namibia 2007/08
/tablesn/nami09.html,5/5,Namibia 2008/09
/tablesn/nami2010.html,5/5,Namibia 2009/10
/tablesn/nami2011.html,5/5,Namibia 2010/11
/tablesn/nami2012.html,5/5,Namibia 2011/12
/tablesn/nami2013.html,5/5,Namibia 2012/13
/tablesn/nami2014.html,5/5,Namibia 2013/14
/tablesn/nami2015.html,5/5,Namibia 2014/15
/tablesn/nami2016.html,5/4,Namibia 2015/16
/tablesn/nami2017.html,5/4,Namibia 2016/17
/tablesn/nami2018.html,5/5,Namibia 2017/18
/tablesn/nami2019.html,5/5,Namibia 2018/19
/tablesn/nami2020.html,5/3,Namibia 2019/20
/tablesn/nami2021.html,5/5,Namibia 2021
/tablesn/nami2022.html,5/3,Namibia 2022
/tablesn/nami2023.html,5/5,Namibia 2022/23
/tablesn/nami2024.html,5/5,Namibia 2023/24
/tablesn/nami2025.html,5/5,Namibia 2024/25
/tablesn/nami2026.html,4/6,Namibia 2025/26
/tablesn/nami2champ.html,1/2,Namibia - List of Second Level Champions
/tablesn/nami60.html,5/2,South West Africa (Namibia) 1960
/tablesn/nami72.html,5/3,South West Africa (Namibia) 1972
/tablesn/nami76.html,5/3,South West Africa (Namibia) 1976
/tablesn/nami77.html,5/4,South West Africa (Namibia) 1977
/tablesn/nami78.html,5/3,South West Africa (Namibia) 1978
/tablesn/nami79.html,5/3,South West Africa (Namibia) 1979
/tablesn/nami81.html,5/3,South West Africa (Namibia) 1981
/tablesn/nami82.html,5/3,South West Africa (Namibia) 1982
/tablesn/nami83.html,5/3,South West Africa (Namibia) 1983
/tablesn/nami84.html,5/3,South West Africa (Namibia) 1984
/tablesn/nami85.html,5/4,South West Africa (Namibia) 1985
/tablesn/nami86.html,5/4,South West Africa (Namibia) 1986
/tablesn/nami87.html,5/4,South West Africa (Namibia) 1987
/tablesn/nami88.html,5/4,South West Africa (Namibia) 1988
/tablesn/nami89.html,5/3,South West Africa (Namibia) 1989
/tablesn/nami90.html,5/4,Namibia 1990
/tablesn/nami91.html,5/4,Namibia 1991
/tablesn/nami92.html,6/6,Namibia 1992
/tablesn/nami93.html,5/4,Namibia 1993
/tablesn/nami94.html,5/4,Namibia 1994
/tablesn/nami95.html,5/3,Namibia 1995
/tablesn/nami96.html,5/3,Namibia 1996
/tablesn/nami98.html,5/5,Namibia 1997/98
/tablesn/nami99.html,5/4,Namibia 1999
/tablesn/namichamp.html,45/55,Namibia - List of Champions
/tablesn/namicuphist.html,47/56,Namibia - List of Cup Winners
/tablesn/namifound.html,2/2,Namibia - List of Foundation Dates
/tablesn/namyouth81.html,0/2,?
/tablesn/nanhwaindie-tour31.html,4/5,South East Asia Tour of Nan Hwa 1931
/tablesn/nanhwaindie-tour32.html,4/5,South East Asia Tour of Nan Hwa 1932
/tablesn/nanhwaindie-tour37.html,8/6,Dutch East Indies Tour of Nan Hwa 1937
/tablesn/nanhwaindie-tour39.html,2/4,Dutch East Indies Tour of Nan Hwa 1939
/tablesn/nantes-indoor97.html,0/2,?
/tablesn/naranja.html,1/7,Trofeo Naranja
/tablesn/nat-milano34.html,1/2,Torneo di Natale (Milano) 1934
/tablesn/naters-u19.html,1/3,"Youth Tournament U-19 Naters (Valais, Switzerland)"
/tablesn/nauru-intres.html,1/1,Nauru - International Matches
/tablesn/nauru2014.html,3/2,Nauru 2014
/tablesn/nauru2018.html,0/1,?
/tablesn/nauru98.html,2/2,Nauru 1998
/tablesn/nauticocar71.html,1/2,"Naútico Capibaribe (Recife, Brazil) tour of the Caribbean 1971"
/tablesn/nav-caracas58.html,0/1,?
/tablesn/naval-callao66.html,0/2,?
/tablesn/navaleno.html,1/2,"Trofeo Memorial Domingo Heras (Navaleno, Soria-Spain)"
/tablesn/navalmoral.html,1/2,Trofeo Memorial Rafael Medina (Navalmoral de la Mata)
/tablesn/navasdelmarques.html,1/2,Trofeo Navas del Marqués (Ávila)
/tablesn/navysb-veneztrip32.html,1/2,Navy Simón Bolívar Trip to Venezuela 1932
/tablesn/ncam-ccsf.html,1/2,CONCACAF Cups - Final Rounds Balance
/tablesn/ncam-intres2001.html,1/2,International Matches 2001 - North and Central American Countries (CONCACAF)
/tablesn/ncam-olyqual04.html,1/2,North and Central American Olympic Qualifying Tournament 2004
/tablesn/ncyp-50ann-05.html,1/2,TR Northern Cyprus - 50 Years Anniversary Cup 2005
/tablesn/ncyp-intres.html,4/3,TR Northern Cyprus International Matches
/tablesn/ncyp-wom08.html,3/2,TR Northern Cyprus (Women) 2007/08
/tablesn/ncyp-wom09.html,4/5,TR Northern Cyprus (Women) 2008/09
/tablesn/ncyp-wom2010.html,4/3,TR Northern Cyprus (Women) 2009/10
/tablesn/ncyp-wom2011.html,4/3,TR Northern Cyprus (Women) 2010/11
/tablesn/ncyp-wom2012.html,4/3,TR Northern Cyprus (Women) 2011/12
/tablesn/ncyp-wom2017.html,4/3,TR Northern Cyprus (Women) 2016/17
/tablesn/ncyp-wom2018.html,4/5,TR Northern Cyprus (Women) 2017/18
/tablesn/ncyp-wom2019.html,4/3,TR Northern Cyprus (Women) 2018/19
/tablesn/ncyp-wom2022.html,4/3,TR Northern Cyprus (Women) 2022
/tablesn/ncyp-wom2023.html,4/4,TR Northern Cyprus (Women) 2023
/tablesn/ncyp-wom2024.html,4/4,TR Northern Cyprus (Women) 2024
/tablesn/ncyp-wom2025.html,3/4,TR Northern Cyprus (Women) 2025
/tablesn/ncyp-womchamp.html,13/13,TR Northern Cyprus - List of Women Champions
/tablesn/ncyp00.html,7/5,TR North Cyprus 1999/2000
/tablesn/ncyp01.html,8/5,TR Northern Cyprus 2000/01
/tablesn/ncyp02.html,8/5,TR Northern Cyprus 2001/02
/tablesn/ncyp03.html,8/5,TR Northern Cyprus 2002/03
/tablesn/ncyp04.html,8/5,TR Northern Cyprus 2003/04
/tablesn/ncyp05.html,9/5,TR Northern Cyprus 2004/05
/tablesn/ncyp06.html,9/5,TR Northern Cyprus 2005/06
/tablesn/ncyp07.html,9/5,TR Northern Cyprus 2006/07
/tablesn/ncyp08.html,9/5,TR Northern Cyprus 2007/08
/tablesn/ncyp09.html,9/5,TR Northern Cyprus 2008/09
/tablesn/ncyp2010.html,9/5,TR Northern Cyprus 2009/10
/tablesn/ncyp2011.html,9/5,TR Northern Cyprus 2010/11
/tablesn/ncyp2012.html,9/5,TR Northern Cyprus 2011/12
/tablesn/ncyp2013.html,9/5,TR Northern Cyprus 2012/13
/tablesn/ncyp2014.html,9/5,TR Northern Cyprus 2013/14
/tablesn/ncyp2015.html,9/5,TR Northern Cyprus 2014/15
/tablesn/ncyp2016.html,9/5,TR Northern Cyprus 2015/16
/tablesn/ncyp2017.html,9/5,TR Northern Cyprus 2016/17
/tablesn/ncyp2018.html,9/5,TR Northern Cyprus 2017/18
/tablesn/ncyp2019.html,9/5,TR Northern Cyprus 2018/19
/tablesn/ncyp2020.html,9/5,TR Northern Cyprus 2019/20
/tablesn/ncyp2022.html,9/5,TR Northern Cyprus 2021/22
/tablesn/ncyp2023.html,9/5,TR Northern Cyprus 2022/23
/tablesn/ncyp2024.html,9/5,TR Northern Cyprus 2023/24
/tablesn/ncyp2025.html,9/5,TR Northern Cyprus 2024/25
/tablesn/ncyp2026.html,8/6,TR Northern Cyprus 2025/26
/tablesn/ncyp92.html,8/5,TR North Cyprus 1991/92
/tablesn/ncyp93.html,7/5,TR North Cyprus 1992/93
/tablesn/ncyp94.html,7/5,TR North Cyprus 1993/94
/tablesn/ncyp95.html,7/5,TR North Cyprus 1994/95
/tablesn/ncyp96.html,7/5,TR North Cyprus 1995/96
/tablesn/ncyp97.html,7/5,TR North Cyprus 1996/97
/tablesn/ncyp98.html,7/5,TR North Cyprus 1997/98
/tablesn/ncyp99.html,7/5,TR North Cyprus 1998/99
/tablesn/ncypalltime.html,1/36,TR North Cyprus - All-Time Table
/tablesn/ncypchamp.html,36/38,TR Northern Cyprus - List of Champions
/tablesn/ncypclubs.html,1/24,TR Northern Cyprus - Club Info
/tablesn/ncypcup56.html,6/2,TR North Cyprus Cup 1955/56
/tablesn/ncypcuphist.html,24/38,TR North Cyprus - List of Cup Finals
/tablesn/ncypfound.html,1/2,TR Northern Cyprus - List of Foundation Dates
/tablesn/ncyphist.html,13/28,TR Northern Cyprus - List of Final Tables
/tablesn/ncyptops.html,1/36,TR North Cyprus - List of Topscorers
/tablesn/necaxa100-23.html,0/1,?
/tablesn/necochea97.html,2/3,Copa Ciudad de Necochea 1997
/tablesn/necochea98.html,2/3,Copa Ciudad de Necochea 1998
/tablesn/ned-amat00.html,10/4,Netherlands 1999/2000 Third to Eleventh Level (amateur football)
/tablesn/ned-amat01.html,10/5,Netherlands 2000/01 Third to Eleventh Level (amateur football)
/tablesn/ned-amat02.html,9/5,Netherlands 2001/02 Third to Tenth Level (amateur football)
/tablesn/ned-amat03.html,10/5,Netherlands 2002/03 Third to Tenth Level (amateur football)
/tablesn/ned-amat04.html,11/7,Netherlands 2003/04 Third to Tenth Level (amateur football)
/tablesn/ned-amat05.html,12/6,Netherlands 2004/05 Third to Tenth Level (amateur football)
/tablesn/ned-amat06.html,10/5,Netherlands 2005/06 Third to Tenth Level (amateur football)
/tablesn/ned-amat07.html,10/5,Netherlands 2006/07 Third to Tenth Level (amateur football)
/tablesn/ned-amat08.html,10/5,Netherlands 2007/08 Third to Tenth Level (amateur football)
