path,links,title
/tablesp/p-rico-oud.html,4/3,Puerto Rico (before 1957)
/tablesp/p-rico-wom02.html,0/1,?
/tablesp/p-rico-wom03.html,0/2,?
/tablesp/p-rico-wom04.html,4/2,Puerto Rico (Women) 2004
/tablesp/p-rico-wom05.html,0/2,?
/tablesp/p-rico-wom06.html,0/1,?
/tablesp/p-rico-wom07.html,0/1,?
/tablesp/p-rico-wom08.html,0/1,?
/tablesp/p-rico-wom09.html,0/1,?
/tablesp/p-rico-wom2010.html,0/1,?
/tablesp/p-rico-wom2011.html,0/1,?
/tablesp/p-rico-wom2012.html,0/1,?
/tablesp/p-rico-wom2013.html,0/1,?
/tablesp/p-rico-wom2014.html,0/1,?
/tablesp/p-rico-wom2015.html,0/1,?
/tablesp/p-rico-wom2016.html,0/1,?
/tablesp/p-rico-wom2017.html,0/1,?
/tablesp/p-rico-wom2019.html,0/1,?
/tablesp/p-rico-wom2020.html,0/1,?
/tablesp/p-rico-wom2022.html,0/1,?
/tablesp/p-rico-wom2023.html,0/1,?
/tablesp/p-rico-wom2024.html,0/2,?
/tablesp/p-rico-wom2025.html,3/2,Puerto Rico (Women) 2025
/tablesp/p-rico-womchamp.html,23/4,Puerto Rico - List of Women Champions
/tablesp/p-rico00.html,4/4,Puerto Rico 1999/2000
/tablesp/p-rico01.html,4/4,Puerto Rico 2000/01
/tablesp/p-rico02.html,4/3,Puerto Rico 2001/02
/tablesp/p-rico03.html,4/4,Puerto Rico 2003/04
/tablesp/p-rico04.html,4/3,Puerto Rico 2004
/tablesp/p-rico05.html,4/3,Puerto Rico 2005
/tablesp/p-rico06.html,4/3,Puerto Rico 2006
/tablesp/p-rico07.html,4/4,Puerto Rico 2007
/tablesp/p-rico08.html,4/4,Puerto Rico 2008
/tablesp/p-rico09.html,4/4,Puerto Rico 2009
/tablesp/p-rico2010.html,4/3,Puerto Rico 2010
/tablesp/p-rico2011.html,4/4,Puerto Rico 2011
/tablesp/p-rico2012.html,4/4,Puerto Rico 2012
/tablesp/p-rico2013.html,4/4,Puerto Rico 2013
/tablesp/p-rico2014.html,4/3,Puerto Rico 2014
/tablesp/p-rico2015.html,4/3,Puerto Rico 2015
/tablesp/p-rico2016.html,5/4,Puerto Rico 2016
/tablesp/p-rico2017.html,4/4,Puerto Rico 2017
/tablesp/p-rico2019.html,5/6,Puerto Rico 2018/19
/tablesp/p-rico2020.html,5/4,Puerto Rico 2019/20
/tablesp/p-rico2021.html,5/4,Puerto Rico 2021
/tablesp/p-rico2022.html,5/4,Puerto Rico 2022
/tablesp/p-rico2023.html,5/4,Puerto Rico 2022/23
/tablesp/p-rico2023a.html,5/4,Puerto Rico 2023/24
/tablesp/p-rico2025.html,5/4,Puerto Rico 2024
/tablesp/p-rico2025a.html,5/4,Puerto Rico 2025
/tablesp/p-rico2026.html,5/4,Puerto Rico 2025/26 (Apertura 2025)
/tablesp/p-rico2026a.html,4/4,Puerto Rico 2025/26 (Clausura 2026)
/tablesp/p-rico58.html,4/3,Puerto Rico 1957/58
/tablesp/p-rico98.html,4/3,Puerto Rico 1997/98
/tablesp/p-rico99.html,4/4,Puerto Rico 1998/99
/tablesp/p-ricochamp.html,34/34,Puerto Rico - List of Champions
/tablesp/p-ricocuphist.html,5/12,Puerto Rico - List of Cup Winners
/tablesp/p-ricofound.html,1/3,Puerto Rico - Foundation Dates of Clubs
/tablesp/paas-intres.html,1/2,Easter Island (Rapa Nui) - International Matches
/tablesp/paas04.html,0/1,?
/tablesp/paas07.html,0/1,?
/tablesp/paas2012.html,0/1,?
/tablesp/paas2015.html,0/1,?
/tablesp/paas2017.html,0/1,?
/tablesp/paas2018.html,0/1,?
/tablesp/paas2020.html,0/1,?
/tablesp/paas2021.html,0/1,?
/tablesp/paas2022.html,0/1,?
/tablesp/paas2023.html,0/1,?
/tablesp/paas2024.html,0/2,?
/tablesp/paas2025.html,3/2,Easter Island (Rapa Nui) 2025
/tablesp/paas77.html,0/1,?
/tablesp/paas99.html,0/1,?
/tablesp/paaschamp.html,15/3,Easter Island (Rapa Nui) - List of Champions
/tablesp/pac-blackpool58.html,1/2,Blackpool FC (England) tour of the Pacific 1958
/tablesp/pac-womgames.html,8/8,(South) Pacific Games - Women's Tournament
/tablesp/pacgames2011.html,5/5,Pacific Games 2011 (New Caledonia)
/tablesp/pacgames2015.html,5/6,Pacific Games 2015 (Papua New Guinea)
/tablesp/pacgames2017.html,5/4,Pacific Mini Games 2017 (Vanuatu)
/tablesp/pacgames2019.html,5/4,Pacific Games 2019 (Samoa)
/tablesp/pacgames2023.html,4/8,Pacific Games 2023 (Solomon Islands)
/tablesp/pachuca-tris94.html,0/2,?
/tablesp/pachucacuna.html,0/3,?
/tablesp/pachucanm00.html,0/2,?
/tablesp/pacif-elsal93.html,0/2,?
/tablesp/pacific88.html,0/2,?
/tablesp/pacifica2024.html,0/1,?
/tablesp/pacifico.html,1/2,Copa del Pacífico
/tablesp/pacifico-guayaquil.html,0/2,?
/tablesp/pacifico-pan-u20.html,0/2,?
/tablesp/pacifico2016.html,0/1,?
/tablesp/pacifique.html,4/7,Tournoi du Pacifique (Coupe de France qualifying)
/tablesp/pacinvsoctou.html,1/1,Pacific Invitational Soccer Tournament
/tablesp/pacsoc04.html,0/2,?
/tablesp/padova92.html,1/2,Summer Tournament Padova 1992
/tablesp/paixabidjan.html,1/2,Trophée de la Paix (Ivory Coast)
/tablesp/pak-malayatour58.html,0/2,?
/tablesp/paki-clubs.html,1/3,Pakistan - Clubs
/tablesp/paki-ii50.html,2/3,Pakistan Tour of Iran and Iraq 1950
/tablesp/paki-intres.html,2/3,Pakistan - List of International Matches
/tablesp/paki-nwi37.html,4/3,North-West India 1936/37
/tablesp/paki-wom05.html,0/1,?
/tablesp/paki-wom06.html,0/1,?
/tablesp/paki-wom07.html,0/2,?
/tablesp/paki-wom08.html,4/3,Pakistan (Women Tournaments) 2008
/tablesp/paki-wom09.html,4/3,Pakistan (Women Tournaments) 2009
/tablesp/paki-wom2010.html,0/2,?
/tablesp/paki-wom2011.html,0/1,?
/tablesp/paki-wom2012.html,0/1,?
/tablesp/paki-wom2013.html,0/1,?
/tablesp/paki-wom2014.html,0/1,?
/tablesp/paki-wom2018.html,0/2,?
/tablesp/paki-wom2020.html,4/2,Pakistan (Women Tournaments) 2019/20
/tablesp/paki-wom2021.html,0/2,?
/tablesp/paki-wom2023.html,0/1,?
/tablesp/paki-wom2024.html,3/2,Pakistan (Women Tournaments) 2024
/tablesp/paki-womchamp.html,15/5,Pakistan - List of Women Champions
/tablesp/paki-youth04.html,0/1,?
/tablesp/paki-youth05.html,0/1,?
/tablesp/paki-youth08.html,0/1,?
/tablesp/paki-youth09.html,3/2,Pakistan (Youth Tournaments) 2009
/tablesp/paki-youthchamp.html,4/3,Pakistan - List of Youth (U-19) Champions
/tablesp/paki00.html,4/5,Pakistan 2000
/tablesp/paki01.html,5/4,Pakistan 2001
/tablesp/paki02.html,6/3,Pakistan 2002
/tablesp/paki03.html,7/7,Pakistan 2003
/tablesp/paki04.html,7/6,Pakistan 2004
/tablesp/paki05.html,6/6,Pakistan 2005
/tablesp/paki06.html,6/6,Pakistan 2006/07
/tablesp/paki07.html,6/7,Pakistan 2007/08
/tablesp/paki08.html,6/6,Pakistan 2008/09
/tablesp/paki09.html,5/5,Pakistan 2009/10
/tablesp/paki2-04.html,7/2,Pakistan Second Level 2004
/tablesp/paki2010.html,5/4,Pakistan 2010/11
/tablesp/paki2011.html,5/5,Pakistan 2011/12
/tablesp/paki2012.html,5/5,Pakistan 2012/13
/tablesp/paki2013.html,5/5,Pakistan 2013/14
/tablesp/paki2014.html,5/5,Pakistan 2014/15
/tablesp/paki2016.html,5/3,Pakistan 2015/16
/tablesp/paki2017.html,5/3,Pakistan 2017
/tablesp/paki2018.html,5/5,Pakistan 2018/19
/tablesp/paki2019.html,5/3,Pakistan 2019/20
/tablesp/paki2021.html,5/4,Pakistan 2020/21
/tablesp/paki2022.html,5/5,Pakistan 2021/22
/tablesp/paki2023.html,4/3,Pakistan 2023
/tablesp/paki2champ.html,1/2,Pakistan - List of Second Level Champions
/tablesp/paki3-04.html,5/4,Pakistan (Other Tournaments) 2004
/tablesp/paki3-05.html,6/4,Pakistan (Other Tournaments) 2005
/tablesp/paki3-06.html,6/4,Pakistan (Other Tournaments) 2006
/tablesp/paki3-07.html,6/3,Pakistan (Other Tournaments) 2007
/tablesp/paki3-08.html,6/4,Pakistan (Other Tournaments) 2008
/tablesp/paki3-09.html,5/2,Pakistan (Other Tournaments) 2009
/tablesp/paki48.html,5/3,Pakistan 1948
/tablesp/paki62.html,5/4,Pakistan 1962
/tablesp/paki72.html,5/2,Pakistan 1972
/tablesp/paki75.html,5/3,Pakistan 1975
/tablesp/paki84.html,6/6,Pakistan 1984
/tablesp/paki85.html,5/6,Pakistan 1985
/tablesp/paki92.html,4/6,Pakistan 1992/93
/tablesp/paki93.html,4/5,Pakistan 1993/94
/tablesp/paki94.html,5/5,Pakistan 1994
