path,links,title
/tablesr/racimooro91.html,2/4,Copa Racimo de Oro Mendoza 1991
/tablesr/racing-amertrip53.html,2/3,American Trip of Racing Club 1952/53
/tablesr/racing-braztrip56.html,1/3,Brazilian Trip of Racing Club (Avellaneda) 1956
/tablesr/racing-braztrip58.html,1/3,Brazilian Trip of Racing Club (Avellaneda) 1958
/tablesr/racing-mex47tour.html,1/2,Mexican tour of Racing Club (Avellaneda) 1947
/tablesr/racing-perutrip44.html,1/2,Racing Club (Avellaneda) Trip to Peru 1944
/tablesr/racing-samtrip52.html,1/3,South American Trip of Racing Club 1951/52
/tablesr/racing-satrip64.html,1/2,South American Trip of Racing Club 1964
/tablesr/racing-trip50.html,1/3,Racing Club (Avellaneda) Trip to Europe 1949/50
/tablesr/racing-trip54.html,1/3,Racing Club (Avellaneda) Trip to Europe 1954
/tablesr/racing-trip67.html,1/2,South American Trip of Racing Club (Avellaneda) 1967
/tablesr/racing-trip88.html,2/2,Korean Trip of Racing Club (Avellaneda) 1988
/tablesr/racing50-63.html,1/2,Torneo Bodas de Oro del Racing de Santander 1963
/tablesr/racingclub.html,4/2,Racing Club
/tablesr/racinglausanne.html,1/3,Racing Club and Stade Lausanne Tournament (Switzerland)
/tablesr/racingmad-mextour31.html,1/2,Mexican trip of Racing Club de Madrid (ESP) 1931
/tablesr/racingriver.html,1/2,Racing Club vs River Plate
/tablesr/rackeve-u1617.html,1/3,U-16/U-17 Tournament in Rackeve/Telki (Hungary)
/tablesr/rajivgandhi.html,2/3,Rajiv Gandhi Gold Cup (U-21) 1992-1998
/tablesr/ramonfernandez.html,2/2,Trofeo Seguros Ramón Fernández (Luarca)
/tablesr/ramonlosado.html,2/3,Trofeo Ramón Losada (Luarca)
/tablesr/rampla-braz29.html,2/3,Brazilian Trip of Rampla Juniors 1929
/tablesr/rampla-chiltrip50.html,1/2,Rampla Juniors Trip to Chile 1950
/tablesr/rampla-europe29.html,3/4,Rampla Juniors Tour of Europe 1929
/tablesr/rampla-europe29det.html,2/2,Rampla Juniors Tour of Europe 1929
/tablesr/rangers-canada2830.html,1/2,Rangers FC (Glasgow) Canadian Tours 1928 and 1930
/tablesr/rangersceltic.html,2/2,Rangers FC vs Celtic FC since 1888
/tablesr/rapid-argtrip54.html,2/4,SK Rapid Wien (Austria) tour of Río de la Plata 1954
/tablesr/rapid-braztrip49.html,1/2,SK Rapid Wien Trip to Brazil 1949
/tablesr/rapid-satrip66.html,2/4,SK Rapid Wien (Austria) tour of South America 1966
/tablesr/rapid-trip5657.html,3/4,SK Rapid Wien (Austria) tour of the Americas 1956-57
/tablesr/rapid100-99.html,1/2,SK Rapid Centenary Trophy 1999
/tablesr/rayovallecano-satrip79.html,1/3,Río de la Plata Trip of Rayo Vallecano 1979
/tablesr/rca-veneztrip47.html,1/2,Racing Club di Aruba Trip to Venezuela 1947
/tablesr/rcastilla.html,1/2,Copa Ramón Castilla
/tablesr/rcd-pact.html,2/3,RCD PACT Tournaments 1965-1974
/tablesr/rch84-07.html,1/1,84th Anniversary of Racing Club Haïtien
/tablesr/rcolombo56.html,1/2,Copa Raúl Colombo
/tablesr/rcparsenal.html,1/2,Racing Club de Paris - Arsenal
/tablesr/real-b-linense.html,1/2,Trofeo Real Balompédica Linense
/tablesr/realmadrid-zaf64.html,2/2,Real Madrid tour to South Africa 1964
/tablesr/recopa-int.html,1/7,Recopa Intercontinental 1968/69
/tablesr/reddevilslondon.html,1/2,Red Devils vs London 1909-1938
/tablesr/redstar100-00.html,1/2,100th Anniversary of Red Star Paris
/tablesr/redstar100-05.html,1/1,100th Anniversary of FC Red Star Zürich
/tablesr/reebok97.html,1/2,Reebok Cup 1997
/tablesr/reggiana.html,1/2,Associazione Calcio Reggiana
/tablesr/regrobins.html,1/2,Sir Reginald Robins Shield
/tablesr/rehab1-00.html,2/2,First Al-Rehab Soccer Tournament 2000 (Cairo)
/tablesr/rehab2-00.html,2/2,Second Al-Rehab Soccer Tournament 2000 (Bucuresti)
/tablesr/reims-argtrip62.html,1/3,Stade de Reims to Argentina 1962
/tablesr/reims-indo56.html,3/5,Stade de Reims tour of Indonesia 1956
/tablesr/relais-ch.html,1/2,Tournoi du Relais (Switzerland)
/tablesr/relampago51.html,1/2,"Torneo Relampago 1951 (Lima, Peru)"
/tablesr/remo-trip50.html,1/2,Venezolan Trip of Clube do Remo 1950
/tablesr/renner.html,1/2,Copa Renner
/tablesr/repsanmarino.html,1/1,Torneo Repubblica di San Marino
/tablesr/residentie-dh97.html,1/2,Residentie Cup in Den Haag 1997
/tablesr/reunion-intres.html,1/2,Reunion International Matches
/tablesr/reunion-wom01.html,5/4,Réunion Women 2001
/tablesr/reunion-wom02.html,5/4,Réunion Women 2002
/tablesr/reunion-wom03.html,5/4,Réunion Women 2003
/tablesr/reunion-wom04.html,5/4,Réunion Women 2004
/tablesr/reunion-wom05.html,5/5,Réunion Women 2005
/tablesr/reunion-wom06.html,5/4,Réunion Women 2006
/tablesr/reunion-wom07.html,5/4,Réunion Women 2007
/tablesr/reunion-wom08.html,5/4,Réunion Women 2008
/tablesr/reunion-wom09.html,5/4,Réunion Women 2009
/tablesr/reunion-wom2010.html,5/5,Réunion Women 2010
/tablesr/reunion-wom2011.html,5/5,Réunion Women 2011
/tablesr/reunion-wom2012.html,5/5,Réunion Women 2012
/tablesr/reunion-wom2013.html,5/4,Réunion Women 2013
/tablesr/reunion-wom2014.html,5/4,Réunion Women 2014
/tablesr/reunion-wom2015.html,5/4,Réunion Women 2015
/tablesr/reunion-wom2017.html,5/3,Réunion Women 2017
/tablesr/reunion-wom2018.html,5/3,Réunion Women 2018
/tablesr/reunion-wom2019.html,5/4,Réunion Women 2019
/tablesr/reunion-wom2020.html,4/3,Réunion Women 2020
/tablesr/reunion-wom2021.html,5/4,Réunion Women 2021
/tablesr/reunion-wom2022.html,5/4,Réunion Women 2022
/tablesr/reunion-wom2023.html,5/4,Réunion Women 2023
/tablesr/reunion-wom2024.html,5/5,Réunion Women 2024
/tablesr/reunion-wom2025.html,4/3,Réunion Women 2025
/tablesr/reunion-wom79.html,4/2,Réunion Women 1979
/tablesr/reunion-wom98.html,5/5,Réunion Women 1998
/tablesr/reunion-wom99.html,5/5,Réunion Women 1999
/tablesr/reunion-womchamp.html,25/29,Réunion - List of Women Champions
/tablesr/reunion-womcuphist.html,24/30,Réunion - List of Women Cup Finals
/tablesr/reunion00.html,7/5,Réunion 2000
/tablesr/reunion01.html,7/5,Réunion 2001
/tablesr/reunion02.html,7/5,Réunion 2002
/tablesr/reunion03.html,7/5,Réunion 2003
/tablesr/reunion04.html,7/5,Réunion 2004
/tablesr/reunion05.html,7/5,Réunion 2005
/tablesr/reunion06.html,7/5,Réunion 2006
/tablesr/reunion07.html,7/5,Réunion 2007
/tablesr/reunion08.html,7/5,Réunion 2008
/tablesr/reunion09.html,7/5,Réunion 2009
/tablesr/reunion2010.html,7/5,Réunion 2010
/tablesr/reunion2011.html,7/5,Réunion 2011
/tablesr/reunion2012.html,7/5,Réunion 2012
/tablesr/reunion2013.html,7/5,Réunion 2013
/tablesr/reunion2014.html,7/5,Réunion 2014
/tablesr/reunion2015.html,7/5,Réunion 2015
/tablesr/reunion2016.html,7/5,Réunion 2016/17
/tablesr/reunion2018.html,7/5,Réunion 2017
/tablesr/reunion2018a.html,7/5,Réunion 2018
/tablesr/reunion2019.html,7/5,Réunion 2019
/tablesr/reunion2020.html,7/5,Réunion 2020
/tablesr/reunion2021.html,7/5,Réunion 2021
/tablesr/reunion2022.html,7/5,Réunion 2022
/tablesr/reunion2023.html,7/6,Réunion 2023
/tablesr/reunion2024.html,7/6,Réunion 2024
/tablesr/reunion2025.html,6/6,Réunion 2025
/tablesr/reunion2champ.html,1/2,Réunion - List of Second Level Champions
/tablesr/reunion31.html,5/3,Réunion 1931
/tablesr/reunion3cuphist.html,3/3,Réunion - List of Coupe Dominique Sauger Finals
/tablesr/reunion57.html,6/4,Réunion 1957
/tablesr/reunion58.html,6/3,Réunion 1958
/tablesr/reunion59.html,6/3,Réunion 1959
/tablesr/reunion60.html,6/4,Réunion 1960
/tablesr/reunion61.html,6/4,Réunion 1961
/tablesr/reunion62.html,7/4,Réunion 1962
/tablesr/reunion63.html,7/3,Réunion 1963
/tablesr/reunion64.html,7/3,Réunion 1964
/tablesr/reunion65.html,7/3,Réunion 1965
/tablesr/reunion66.html,7/3,Réunion 1966
/tablesr/reunion67.html,7/3,Réunion 1967
/tablesr/reunion68.html,7/3,Réunion 1968
/tablesr/reunion69.html,7/3,Réunion 1969
/tablesr/reunion71.html,7/3,Réunion 1971
/tablesr/reunion72.html,7/3,Réunion 1972
/tablesr/reunion73.html,7/3,Réunion 1973
/tablesr/reunion74.html,7/3,Réunion 1974
/tablesr/reunion75.html,7/3,Réunion 1975
/tablesr/reunion76.html,7/3,Réunion 1976
/tablesr/reunion77.html,7/3,Réunion 1977
/tablesr/reunion78.html,7/3,Réunion 1978
/tablesr/reunion79.html,7/3,Réunion 1979
/tablesr/reunion80.html,7/3,Réunion 1980
/tablesr/reunion81.html,7/3,Réunion 1981
/tablesr/reunion82.html,7/3,Réunion 1982
/tablesr/reunion83.html,7/3,Réunion 1983
/tablesr/reunion84.html,7/3,Réunion 1984
/tablesr/reunion85.html,7/3,Réunion 1985
/tablesr/reunion86.html,7/3,Réunion 1986
/tablesr/reunion87.html,7/3,Réunion 1987
/tablesr/reunion88.html,7/3,Réunion 1988
/tablesr/reunion89.html,7/3,Réunion 1989
/tablesr/reunion90.html,7/3,Réunion 1990
/tablesr/reunion96.html,7/3,Réunion 1996
/tablesr/reunion97.html,7/5,Réunion 1997
/tablesr/reunion98.html,7/5,Réunion 1998
/tablesr/reunion99.html,7/5,Réunion 1999
/tablesr/reunionchamp.html,33/86,Réunion - List of Champions
/tablesr/reunioncuphist.html,64/91,Réunion - List of Cup Winners
/tablesr/reunionfound.html,2/2,Reunion - Foundation Dates Clubs
/tablesr/reunionhist.html,2/61,Réunion - Final Tables 1956-2006
/tablesr/revancha04.html,2/1,Copa Revancha 2004
/tablesr/revolucion-mex30.html,1/2,Juegos Deportivos de la Revolución 1930 (Mexico City)
/tablesr/rfef-u17-02.html,1/2,U-17 Trofeo de la RFEF 2002 (Spain)
/tablesr/rgn00.html,3/2,Rio Grande do Norte State League 2000
/tablesr/rgn2-98.html,1/1,-
/tablesr/rgn77.html,3/2,Rio Grande do Norte State League 1977
/tablesr/rgn97.html,4/4,Rio Grande do Norte State League 1997
/tablesr/rgn98.html,4/3,Rio Grande do Norte State League 1998
/tablesr/rgn99.html,4/3,Rio Grande do Norte State League 1999
/tablesr/rgnchamp.html,0/5,Rio Grande do Norte State League - List of Champions
/tablesr/rgp56.html,2/3,Torneio Internacional Roberto Gomes Pedrosa 1956
/tablesr/rgp56det.html,3/3,Torneio Internacional Roberto Gomes Pedrosa 1956 - Match Details
/tablesr/rgpchamp.html,5/6,Brazil - List of Winners Torneio Roberto Gomes Pedrosa (Taça de Prata)
/tablesr/rgs-cups98.html,5/3,Rio Grande do Sul Cup Tournaments 1998
/tablesr/rgs-galego97.html,7/2,Rio Grande do Sul Copa Galego 1997
/tablesr/rgs-tournaments.html,1/2,Friendly Tournaments of Rio Grande do Sul State 1959-68
