path,links,title
/tabless/praha-tourn.html,0/2,?
/tabless/sa-am-u20-99.html,0/2,?
/tabless/sa-u15.html,11/11,South American U-15 Championships
/tabless/sa-u15-05.html,4/3,South American U-15 Championship 2005 (Bolivia)
/tabless/sa-u15-07.html,4/3,South American U-15 Championship 2007 (Brazil)
/tabless/sa-u15-09.html,4/3,South American U-15 Championship 2009 (Bolivia)
/tabless/sa-u15-2011.html,4/3,South American U-15 Championship 2011 (Uruguay)
/tabless/sa-u15-2013.html,4/3,South American U-15 Championship 2013 (Bolivia)
/tabless/sa-u15-2015.html,4/3,South American U-15 Championship 2015 (Colombia)
/tabless/sa-u15-2017.html,4/3,South American U-15 Championship 2017 (Argentina)
/tabless/sa-u15-2019.html,4/3,South American U-15 Championship 2019 (Paraguay)
/tabless/sa-u15-2024.html,3/3,South American U-15 Championship 2024 (Bolivia)
/tabless/sa-u16-04.html,3/3,South American U-16 Championship 2004 (Paraguay)
/tabless/sa-u16-85.html,4/3,South American U-16 Championship 1985 (Argentina)
/tabless/sa-u16-86.html,5/4,South American U-16 Championship 1986 (Peru)
/tabless/sa-u16-88.html,5/4,South American U-16 Championship 1988 (Ecuador)
/tabless/sa-u17.html,21/21,South American U-17 Championships
/tabless/sa-u17-01.html,4/3,South American U-17 Championship 2001 (Peru)
/tabless/sa-u17-03.html,4/3,South American U-17 Championship 2003 (Bolivia)
/tabless/sa-u17-05.html,5/4,South American U-17 Championship 2005 (Venezuela)
/tabless/sa-u17-07.html,4/3,South American U-17 Championship 2007 (Ecuador)
/tabless/sa-u17-09.html,4/3,South American U-17 Championship 2009 (Chile)
/tabless/sa-u17-2011.html,5/4,South American U-17 Championship 2011 (Ecuador)
/tabless/sa-u17-2013.html,4/3,South American U-17 Championship 2013 (Argentina)
/tabless/sa-u17-2015.html,4/4,South American U-17 Championship 2015 (Paraguay)
/tabless/sa-u17-2017.html,4/4,South American U-17 Championship 2017 (Chile)
/tabless/sa-u17-2019.html,4/3,South American U-17 Championship 2019 (Peru)
/tabless/sa-u17-2023.html,4/3,South American U-17 Championship 2023 (Ecuador)
/tabless/sa-u17-2025.html,3/3,South American U-17 Championship 2025 (Colombia)
/tabless/sa-u17-91.html,5/4,South American U-17 Championship 1991 (Paraguay)
/tabless/sa-u17-93.html,5/3,South American U-17 Championship 1993 (Colombia)
/tabless/sa-u17-95.html,5/3,South American U-17 Championship 1995 (Peru)
/tabless/sa-u17-97.html,5/3,South American U-17 Championship 1997 (Paraguay)
/tabless/sa-u17-99.html,5/3,South American U-17 Championship 1999 (Uruguay)
/tabless/sa-u20-01.html,4/3,XX Sudamericano Juvenil 2001 (Ecuador)
/tabless/sa-u20-03.html,5/4,XXI Sudamericano Juvenil 2003 (Uruguay)
/tabless/sa-u20-03det.html,3/1,XXI Sudamericano Juvenil 2003 (Uruguay) - Details
/tabless/sa-u20-05.html,4/3,XXII Sudamericano Juvenil 2005 (Colombia)
/tabless/sa-u20-07.html,4/5,XXIII Sudamericano Juvenil 2007 (Paraguay)
/tabless/sa-u20-09.html,4/3,XXIV Sudamericano Juvenil 2009 (Venezuela)
/tabless/sa-u20-11.html,4/4,XXV Sudamericano Juvenil 2011 (Peru)
/tabless/sa-u20-2013.html,4/3,XXVI Sudamericano Juvenil 2013 (Argentina)
