path,links,title
/tablest/t5nat-wom07.html,0/2,?
/tablest/taca-atlanticosul73.html,0/2,?
/tablest/taca-atlanticosul73det.html,0/2,?
/tablest/taca-atlanticosul74.html,0/4,?
/tablest/taca-morumbi57.html,0/2,?
/tablest/taca-stacat-youth.html,0/2,?
/tablest/taca20min85.html,0/3,?
/tablest/tacamartimor2010.html,1/1,Taça do Mar de Timor 2010
/tablest/tacasalvador72.html,0/2,?
/tablest/tacasalvador72det.html,0/2,?
/tablest/tacitaplata74.html,0/2,?
/tablest/tact-ny.html,0/2,?
/tablest/tahiti-intres.html,1/2,Tahiti International Matches
/tablest/tahiti-tourn88.html,1/2,Tahiti Tournament 1988
/tablest/tahiti-wom06.html,0/1,?
/tablest/tahiti-wom07.html,0/1,?
/tablest/tahiti-wom08.html,0/1,?
/tablest/tahiti-wom09.html,0/1,?
/tablest/tahiti-wom2010.html,0/1,?
/tablest/tahiti-wom2011.html,0/1,?
/tablest/tahiti-wom2012.html,0/1,?
/tablest/tahiti-wom2016.html,0/1,?
/tablest/tahiti-wom2017.html,0/2,?
/tablest/tahiti-wom2019.html,4/3,Tahiti (Women) 2018/19
/tablest/tahiti-wom2020.html,4/4,Tahiti (Women) 2019/20
/tablest/tahiti-wom2021.html,4/4,Tahiti (Women) 2020/21
/tablest/tahiti-wom2023.html,0/2,?
/tablest/tahiti-wom2025.html,4/3,Tahiti (Women) 2024/25
/tablest/tahiti-wom2026.html,3/3,Tahiti (Women) 2025/26
/tablest/tahiti-womchamp.html,15/6,Tahiti - List of Women Champions
/tablest/tahiti00.html,7/5,Tahiti 1999/2000
/tablest/tahiti01.html,6/5,Tahiti 2000/01
/tablest/tahiti02.html,7/3,Tahiti 2001/02
/tablest/tahiti03.html,7/4,Tahiti 2002/03
/tablest/tahiti04.html,7/4,French Polynesia 2003/04
/tablest/tahiti05.html,8/4,French Polynesia 2004/05
/tablest/tahiti06.html,8/5,French Polynesia 2005/06
/tablest/tahiti07.html,8/5,French Polynesia 2006/07
/tablest/tahiti08.html,8/5,French Polynesia 2007/08
/tablest/tahiti09.html,8/5,French Polynesia 2008/09
/tablest/tahiti2010.html,8/5,French Polynesia 2009/10
/tablest/tahiti2011.html,8/5,French Polynesia 2010/11
/tablest/tahiti2012.html,8/5,French Polynesia 2011/12
/tablest/tahiti2013.html,8/5,French Polynesia 2012/13
/tablest/tahiti2014.html,8/6,French Polynesia 2013/14
/tablest/tahiti2015.html,8/5,French Polynesia 2014/15
/tablest/tahiti2016.html,8/5,French Polynesia 2015/16
/tablest/tahiti2017.html,8/5,French Polynesia 2016/17
/tablest/tahiti2018.html,8/5,French Polynesia 2017/18
/tablest/tahiti2019.html,8/5,French Polynesia 2018/19
/tablest/tahiti2020.html,8/5,French Polynesia 2019/20
/tablest/tahiti2021.html,8/6,French Polynesia 2020/21
/tablest/tahiti2022.html,8/7,French Polynesia 2021/22
/tablest/tahiti2023.html,8/6,French Polynesia 2022/23
/tablest/tahiti2024.html,8/6,French Polynesia 2023/24
/tablest/tahiti2025.html,8/8,French Polynesia 2024/25
/tablest/tahiti2026.html,7/6,French Polynesia 2025/26
/tablest/tahiti65.html,7/1,Tahiti 1965
/tablest/tahiti68.html,8/3,Tahiti 1968
/tablest/tahiti69.html,8/6,Tahiti 1969
/tablest/tahiti70.html,8/7,Tahiti 1970
/tablest/tahiti71.html,8/5,Tahiti 1971
/tablest/tahiti78.html,8/2,Tahiti 1978
/tablest/tahiti85.html,10/4,Tahiti 1985
/tablest/tahiti99.html,7/4,Tahiti 1998/99
/tablest/tahitichamp.html,34/56,Tahiti - List of Champions
/tablest/tahitichampcuphist.html,8/38,Tahiti - List of Trophée des Champions Winners
/tablest/tahiticuphist.html,32/56,Tahiti - List of Cup Winners
/tablest/tahitifound.html,1/31,Tahiti - List of Foundation Dates
/tablest/taipei2017.html,0/2,?
/tablest/taipeiintcup91.html,1/2,Taipei International Cup 1991
/tablest/taiwan-intres.html,1/2,Taiwan - List of International Matches
/tablest/taiwan-seatour62.html,0/3,?
/tablest/taiwan-three-nat71.html,0/1,?
/tablest/taiwan-wom05.html,3/3,Taiwan (Women) 2005
/tablest/taiwan-wom06.html,4/4,Taiwan (Women) 2006
/tablest/taiwan-wom08.html,4/4,Taiwan (Women) 2008
/tablest/taiwan-wom09.html,4/3,Taiwan (Women) 2009
/tablest/taiwan-wom2011.html,0/3,?
/tablest/taiwan-wom2012.html,4/3,Taiwan (Women) 2012/13
/tablest/taiwan-wom2014.html,4/4,Taiwan (Women) 2014
/tablest/taiwan-wom2015.html,4/4,Taiwan (Women) 2015
/tablest/taiwan-wom2016.html,4/4,Taiwan (Women) 2016
/tablest/taiwan-wom2017.html,4/4,Taiwan (Women) 2017
/tablest/taiwan-wom2018.html,4/4,Taiwan (Women) 2018
/tablest/taiwan-wom2019.html,4/4,Taiwan (Women) 2019
/tablest/taiwan-wom2020.html,4/4,Taiwan (Women) 2020
/tablest/taiwan-wom2021.html,4/4,Taiwan (Women) 2021
/tablest/taiwan-wom2022.html,4/4,Taiwan (Women) 2022
/tablest/taiwan-wom2023.html,4/4,Taiwan (Women) 2023
/tablest/taiwan-wom2024.html,4/4,Taiwan (Women) 2024
/tablest/taiwan-wom2026.html,3/3,Taiwan (Women) 2025/26
/tablest/taiwan-womchamp.html,19/19,Taiwan - List of Women Champions
/tablest/taiwan00.html,4/4,Taiwan 2000/01
/tablest/taiwan05.html,4/4,Taiwan 2005
/tablest/taiwan06.html,4/4,Taiwan 2006
/tablest/taiwan07.html,4/5,Taiwan 2007
/tablest/taiwan08.html,4/4,Taiwan 2008
/tablest/taiwan09.html,4/4,Taiwan 2009
/tablest/taiwan2010.html,4/4,Taiwan 2010
/tablest/taiwan2011.html,4/4,Taiwan 2011
/tablest/taiwan2012.html,4/4,Taiwan 2012
/tablest/taiwan2013.html,4/4,Taiwan 2013
/tablest/taiwan2014.html,4/4,Taiwan 2014
/tablest/taiwan2015.html,4/4,Taiwan 2015/16
/tablest/taiwan2017.html,5/4,Taiwan 2016/17
/tablest/taiwan2018.html,4/4,Taiwan 2018
/tablest/taiwan2019.html,4/4,Taiwan 2019
/tablest/taiwan2020.html,4/4,Taiwan 2020
/tablest/taiwan2021.html,4/4,Taiwan 2021
/tablest/taiwan2022.html,4/4,Taiwan 2022
/tablest/taiwan2023.html,4/4,Taiwan 2023
/tablest/taiwan2024.html,4/4,Taiwan 2024
/tablest/taiwan2026.html,3/4,Taiwan 2025/26
/tablest/taiwan2champ.html,1/2,Taiwan - List of Second Level Champions
/tablest/taiwan68.html,3/2,Taiwan 1967/68
/tablest/taiwan83.html,4/3,Taiwan 1983
/tablest/taiwan85.html,5/5,Taiwan 1985
/tablest/taiwan8693.html,3/3,Taiwan 1986-1993
/tablest/taiwan94.html,4/5,Taiwan 1994
/tablest/taiwan9596.html,3/3,Taiwan 1995-1996
/tablest/taiwan98.html,4/3,Taiwan 1997
/tablest/taiwanchamp.html,29/28,Taiwan - List of Champions
/tablest/taiwanfound.html,1/2,Taiwan - Foundation Dates of Clubs
/tablest/taiwanintercup90.html,1/4,Taiwan International Cup 1990
/tablest/taiwanpres90.html,1/3,Taiwan President's Cup 1990
/tablest/taji-intres.html,1/2,Tajikistan - List of International Matches
/tablest/taji-wom2014.html,0/1,?
/tablest/taji-wom2021.html,2/1,Tajikistan (Women) 2021
/tablest/taji00.html,5/4,Tajikistan 2000
/tablest/taji01.html,5/5,Tajikistan 2001
/tablest/taji02.html,5/5,Tajikistan 2002
/tablest/taji03.html,5/4,Tajikistan 2003
/tablest/taji04.html,5/5,Tajikistan 2004
/tablest/taji05.html,5/4,Tajikistan 2005
/tablest/taji06.html,5/5,Tajikistan 2006
/tablest/taji07.html,5/5,Tajikistan 2007
/tablest/taji08.html,5/5,Tajikistan 2008
/tablest/taji09.html,5/5,Tajikistan 2009
/tablest/taji2010.html,5/5,Tajikistan 2010
/tablest/taji2011.html,5/4,Tajikistan 2011
/tablest/taji2012.html,5/5,Tajikistan 2012
/tablest/taji2013.html,5/5,Tajikistan 2013
/tablest/taji2014.html,5/5,Tajikistan 2014
/tablest/taji2015.html,5/5,Tajikistan 2015
/tablest/taji2016.html,5/5,Tajikistan 2016
/tablest/taji2017.html,5/5,Tajikistan 2017
/tablest/taji2018.html,5/6,Tajikistan 2018
/tablest/taji2019.html,5/6,Tajikistan 2019
/tablest/taji2020.html,5/6,Tajikistan 2020
/tablest/taji2021.html,5/7,Tajikistan 2021
/tablest/taji2022.html,5/7,Tajikistan 2022
/tablest/taji2023.html,5/7,Tajikistan 2023
/tablest/taji2024.html,5/7,Tajikistan 2024
/tablest/taji2025.html,5/8,Tajikistan 2025
/tablest/taji2026.html,4/6,Tajikistan 2026
/tablest/taji2champ.html,1/2,Tajikistan - List of Second Level Champions
/tablest/taji84.html,5/2,Tajikistan 1984
/tablest/taji92.html,7/5,Tajikistan 1992
/tablest/taji93.html,6/5,Tajikistan 1993
/tablest/taji94.html,5/5,Tajikistan 1994
/tablest/taji95.html,5/6,Tajikistan 1995
/tablest/taji96.html,5/5,Tajikistan 1996
/tablest/taji97.html,5/6,Tajikistan 1997
/tablest/taji98.html,5/6,Tajikistan 1998
/tablest/taji99.html,5/5,Tajikistan 1999
/tablest/tajichamp.html,40/39,Tajikistan - List of Champions
/tablest/tajicuphist.html,34/39,Tajikistan - List of Cup Finals
/tablest/tajifftcuphist.html,9/2,Tajikistan - List of FFT Cup Finals
/tablest/tajifound.html,1/2,Tajikistan - List of Foundation Dates
/tablest/tajifriend05.html,0/1,?
/tablest/tajihist.html,3/3,Tajikistan - Final Tables and Cup Results 1937-1981
/tablest/tajisupcuphist.html,6/3,Tajikistan - List of Super Cup Finals
/tablest/tajitops.html,1/1,Tajikistan - List of Topscorers
/tablest/talleres-chiltrip23.html,1/2,Talleres (Córdoba) Trip to Chile 1923
/tablest/talleres-mextrip2015.html,1/2,Mexican Trip of CA Talleres (Córdoba) 2015
/tablest/tammouz73.html,0/2,?
/tablest/tanz-ddrussr87.html,0/2,?
/tablest/tanz-indep06.html,0/1,?
/tablest/tanz-intres.html,1/2,Tanzania (Tanganyika) - List of International Matches
/tablest/tanz-wom07.html,0/1,?
/tablest/tanz-wom2011.html,0/1,?
/tablest/tanz-wom2015.html,4/1,Tanzania (Women) 2014/15
/tablest/tanz-wom2017.html,0/3,?
/tablest/tanz-wom2018.html,4/3,Tanzania (Women) 2017/18
/tablest/tanz-wom2019.html,4/4,Tanzania (Women) 2018/19
/tablest/tanz-wom2020.html,4/4,Tanzania (Women) 2019/20
/tablest/tanz-wom2021.html,4/4,Tanzania (Women) 2020/21
/tablest/tanz-wom2022.html,4/4,Tanzania (Women) 2021/22
/tablest/tanz-wom2023.html,4/4,Tanzania (Women) 2022/23
/tablest/tanz-wom2024.html,4/4,Tanzania (Women) 2023/24
/tablest/tanz-wom2025.html,3/3,Tanzania (Women) 2024/25
/tablest/tanz-womchamp.html,11/11,Tanzania - List of Women Champions
/tablest/tanz00.html,4/5,Tanzania 2000
/tablest/tanz01.html,4/8,Tanzania 2001
/tablest/tanz02.html,4/6,Tanzania 2002
/tablest/tanz03.html,6/7,Tanzania 2003
/tablest/tanz04.html,5/5,Tanzania (Mainland) 2004
/tablest/tanz05.html,6/5,Tanzania (Mainland) 2005
/tablest/tanz06.html,5/4,Tanzania (Mainland) 2006
/tablest/tanz07.html,5/4,Tanzania (Mainland) 2007
/tablest/tanz08.html,6/5,Tanzania (Mainland) 2007/08
/tablest/tanz09.html,5/5,Tanzania (Mainland) 2008/09
/tablest/tanz2010.html,5/5,Tanzania (Mainland) 2009/10
/tablest/tanz2011.html,5/5,Tanzania (Mainland) 2010/11
/tablest/tanz2012.html,5/5,Tanzania (Mainland) 2011/12
/tablest/tanz2013.html,5/5,Tanzania (Mainland) 2012/13
/tablest/tanz2014.html,5/5,Tanzania (Mainland) 2013/14
/tablest/tanz2015.html,5/5,Tanzania (Mainland) 2014/15
/tablest/tanz2016.html,5/5,Tanzania (Mainland) 2015/16
/tablest/tanz2017.html,5/5,Tanzania (Mainland) 2016/17
/tablest/tanz2018.html,5/5,Tanzania (Mainland) 2017/18
/tablest/tanz2019.html,5/5,Tanzania (Mainland) 2018/19
/tablest/tanz2020.html,5/5,Tanzania (Mainland) 2019/20
/tablest/tanz2021.html,5/5,Tanzania (Mainland) 2020/21
/tablest/tanz2022.html,5/5,Tanzania (Mainland) 2021/22
