path,links,title
/tablesv/vaduz-friend74.html,1/2,Friendly Matches in Vaduz (Liechtenstein)
/tablesv/valdemarne-u16.html,1/3,Tournoi du Val-de-Marne U-16 (France)
/tablesv/valedotejo-b.html,1/2,"Torneio ""Vale do Tejo"" (Portugal)"
/tablesv/valencia-argtrip78.html,1/3,Valencia CF Trip to Argentina 1978
/tablesv/valencia-mextour63.html,1/2,Mexican Trip of CF Valencia (Spain) 1963
/tablesv/valencia-satrip80.html,1/3,South American Trip of Valencia CF 1980
/tablesv/valencia23.html,1/2,Copa Valencia 1923
/tablesv/valencia50-69.html,1/2,Torneo Bodas de Oro del Valencia FC 1969
/tablesv/valenti-mem.html,1/2,Memorial Valenti (Italy)
/tablesv/valenti-u16-92.html,2/3,U-16 Torneo Paolo Valenti in Toscana (Italy) 1992
/tablesv/valenti-u18.html,2/3,"U-18 Trofeo Paolo Valenti (Emilia Romagna, Italy)"
/tablesv/valladolid-veneztrip81.html,1/2,Real Valladolid Trip to Venezuela 1981
/tablesv/vallecas.html,1/2,Trofeo Vallecas (Spain)
/tablesv/vallecauca-veneztrip72.html,1/2,Valle del Cauca Trip to Venezuela 1972
/tablesv/valledeaosta.html,2/3,Trofeo Valle d'Aosta
/tablesv/vallehermoso.html,1/2,Trofeo Vallehermoso de Madrid 1968-1976
/tablesv/vallenalonjuv.html,1/2,Trofeo Juvenil Valle del Nalón (Asturias)
/tablesv/vallsandorra62.html,1/2,I Trofeig Valls d'Andorra 1962
/tablesv/valmiera-u17.html,1/1,Valmiera Tournament (Latvia) (U-16/U-17)
/tablesv/valsir05.html,1/1,Trofeo Valsir 2005 (Bolzano)
/tablesv/vanautu-wom07.html,3/1,Vanuatu (Women) 2007
/tablesv/vanautu-wom08.html,4/2,Vanuatu (Women) 2008
/tablesv/vanbodegraven.html,2/2,Van Bodegraven-Cup 1931-1935 (Djember)
/tablesv/vanuatu-futs-intres.html,1/2,Vanuatu - List of International Futsal Matches
/tablesv/vanuatu-intres.html,1/2,Vanuatu (New Hebrides) - List of International Matches
/tablesv/vanuatu-wom09.html,4/2,Vanuatu (Women) 2009
/tablesv/vanuatu-wom2013.html,4/2,Vanuatu (Women) 2013
/tablesv/vanuatu-wom2014.html,4/2,Vanuatu (Women) 2013/14
/tablesv/vanuatu-wom2015.html,4/2,Vanuatu (Women) 2014/15
/tablesv/vanuatu-wom2016.html,4/2,Vanuatu (Women) 2015/16
/tablesv/vanuatu-wom2017.html,4/3,Vanuatu (Women) 2021
/tablesv/vanuatu-wom2022.html,3/2,Vanuatu (Women) 2022
/tablesv/vanuatu00.html,4/3,Vanuatu 2000
/tablesv/vanuatu02.html,4/3,Vanuatu 2002
/tablesv/vanuatu03.html,4/3,Vanuatu 2003
/tablesv/vanuatu04.html,4/3,Vanuatu 2004
/tablesv/vanuatu05.html,4/3,Vanuatu 2005
