path,links,title
/tablesw/wacker-asia5758.html,2/3,SC Wacker tour of Asia 1957-58
/tablesw/wafc.html,29/30,UFOA Cup
/tablesw/wafc00.html,5/3,UFOA Cup 2000
/tablesw/wafc09.html,4/3,UFOA Cup 2009
/tablesw/wafc2010.html,4/3,UFOA Cup 2010
/tablesw/wafc2011.html,4/3,UFOA Cup 2011
/tablesw/wafc2017.html,3/4,UFOA Cup 2017
/tablesw/wafc77.html,3/3,UFOA Cup 1977
/tablesw/wafc78.html,4/2,UFOA Cup 1978
/tablesw/wafc80.html,4/3,UFOA Cup 1980
/tablesw/wafc81.html,4/3,UFOA Cup 1981
/tablesw/wafc82.html,4/3,UFOA Cup 1982
/tablesw/wafc83.html,4/3,UFOA Cup 1983
/tablesw/wafc84.html,4/3,UFOA Cup 1984
/tablesw/wafc85.html,4/3,UFOA Cup 1985
/tablesw/wafc86.html,4/3,UFOA Cup 1986
/tablesw/wafc87.html,4/4,UFOA Cup 1987
/tablesw/wafc88.html,4/3,UFOA Cup 1988
/tablesw/wafc89.html,5/4,UFOA Cup 1989
/tablesw/wafc90.html,5/3,UFOA Cup 1990
/tablesw/wafc91.html,5/4,UFOA Cup 1991
/tablesw/wafc92.html,4/4,UFOA Cup 1992
/tablesw/wafc93.html,4/4,UFOA Cup 1993
/tablesw/wafc94.html,4/4,UFOA Cup 1994
/tablesw/wafc95.html,4/4,UFOA Cup 1995
/tablesw/wafc96.html,4/4,UFOA Cup 1996
/tablesw/wafc97.html,4/3,UFOA Cup 1997
/tablesw/wafc98.html,4/3,UFOA Cup 1998
/tablesw/wafc99.html,4/3,UFOA Cup 1999
/tablesw/waff.html,10/10,West Asian Championship
/tablesw/waff02.html,5/4,West Asian Championship (Syria) 2002
/tablesw/waff02det.html,2/2,West Asian Championship (Syria) 2002 - Details
/tablesw/waff04.html,4/3,West Asian Championship (Iran) 2004
/tablesw/waff06.html,4/3,West Asian Championship (Jordan) 2007
/tablesw/waff08.html,4/3,West Asian Championship (Tehran) 2008
/tablesw/waff2010.html,4/3,West Asian Championship (Amman) 2010
/tablesw/waff2012.html,4/3,West Asian Championship (Kuwait) 2012
/tablesw/waff2014.html,4/3,West Asian Championship (Qatar) 2014
/tablesw/waff2019.html,3/4,West Asian Championship (Iraq) 2019
/tablesw/wafu01.html,4/5,WAFU Nations Cup 2001
/tablesw/wafu05.html,3/6,WAFU Laurent Gbagbo West African Unity Cup 2005
/tablesw/wafu2010.html,4/3,WAFU Nations Cup 2010
/tablesw/wafu2011.html,4/3,WAFU Nations Cup 2011
/tablesw/wafu2013.html,4/3,WAFU Nations Cup 2013
/tablesw/wafu2017.html,4/3,WAFU Nations Cup 2017
/tablesw/wafu2019.html,3/4,WAFU Nations Cup 2019
/tablesw/wafunc.html,10/9,WAFU Nations Cup
/tablesw/wal-intres.html,5/7,International matches of Wales
/tablesw/wal-intres00.html,3/2,Wales - International Results 2000-2005 - Details
/tablesw/wal-intres80.html,3/2,Wales - International Results 1980-1989 - Details
/tablesw/wal-intres90.html,4/3,Wales - International Results 1990-1999 - Details
/tablesw/wal-wom06.html,0/1,?
/tablesw/wal-wom09.html,0/1,?
/tablesw/wal-wom2010.html,4/4,Wales (Women) 2009/10
/tablesw/wal-wom2011.html,4/3,Wales (Women) 2010/11
/tablesw/wal-wom2012.html,4/6,Wales (Women) 2011/12
/tablesw/wal-wom2013.html,5/5,Wales (Women) 2012/13
/tablesw/wal-wom2014.html,5/5,Wales (Women) 2013/14
/tablesw/wal-wom2015.html,5/5,Wales (Women) 2014/15
/tablesw/wal-wom2016.html,5/5,Wales (Women) 2015/16
/tablesw/wal-wom2017.html,5/5,Wales (Women) 2016/17
