path,links,title
/tablesx/xacobeo99.html,1/2,Trofeo Xacobeo 1999
/tablesx/xadampreseason.html,6/8,Amsterdam Pre-Season Tournaments 1917-1970
/tablesx/xaiserstuhl2012.html,2/2,AXA Kaiserstuhl-Cup 2012 - Bahlingen
/tablesx/xamax60-62.html,1/2,50th Anniversary of Xamax 1962
/tablesx/xamistad.html,1/2,Trofeo Amistad Extremadura
/tablesx/xbavopreseason.html,5/3,Haarlem/Heemstede Pre-Season Tournaments 1933-1954
/tablesx/xdompreseason.html,2/2,Utrecht Pre-Season Tournaments 1909-1967
/tablesx/xehvpreseason.html,3/3,Eindhoven/Valkenswaard Pre-Season Tournaments 1918-1945
/tablesx/xeroxsup88.html,2/2,Xerox Super Soccer (Tokyo) 1979-1990
/tablesx/xerxes33.html,1/2,Toernooi Xerxes (Rotterdam) 1933
/tablesx/xgelrepreseason.html,1/2,Gelderland Pre-Season Tournaments 1933-1954
/tablesx/xgroningerdagblad.html,3/3,Groninger Dagbladbeker 1911-1950
/tablesx/xhibit-istanbul51.html,1/2,Istanbul Exhibition Cup 1951
/tablesx/ximineiro82tour.html,1/2,1982 tour of Combinado Mineiro (Brazil)
/tablesx/xmodernfootball.html,1/2,Trofeo Against Modern Football (Murcia)
/tablesx/xove.html,1/2,"Trofeo Concello de Xove Lago (Jove, Lugo)"
/tablesx/xphkvw.html,2/3,Philips' Kunstvoorwerp 1918-1919
/tablesx/xpomontreal67.html,0/2,?
/tablesx/xporoobeke1911.html,15/19,U.I.A.F.A. and the Grand Tournoi Européen (Roubaix) 1911
/tablesx/xrussenspiele.html,2/2,"""Russenspiele"" 1924-1927"
/tablesx/xthanglong2010.html,0/1,?
/tablesx/xxannican5.html,1/2,Trofeo XX Anni Canale 5 (Milano) 2000
