path,links,title
/tablesy/yale-bermtour55.html,2/2,Yale University Soccer Club Tour to Bermuda 1955/56
/tablesy/yashin2010.html,1/1,Lev Yashin Cup 2010 (Khimki)
/tablesy/yawata-tour59.html,1/2,Yawata Steel Company tour of Asia 1959
/tablesy/yb-asia61.html,1/3,BSC Young Boys (Switzerland) tours of Asia 1961 and 1982
/tablesy/yb60-58.html,1/2,60th Anniversary of BSC Young Boys 1958
/tablesy/ycampbell39.html,0/2,?
/tablesy/yem-socotra2022.html,0/1,?
/tablesy/yem-socotra2023.html,3/2,Socotra (Yemen) 2023
/tablesy/yem-socotra2024.html,2/2,Socotra (Yemen) 2024
/tablesy/yem-unity2010.html,0/1,?
/tablesy/yemen-intres.html,3/4,Yemen - List of International Matches
/tablesy/yemen00.html,5/6,Yemen 1999/2000
/tablesy/yemen01.html,5/5,Yemen 2000/01
/tablesy/yemen02.html,5/5,Yemen 2002
/tablesy/yemen03.html,5/5,Yemen 2002/03
/tablesy/yemen04.html,6/5,Yemen 2003/04
/tablesy/yemen05.html,6/5,Yemen 2005
/tablesy/yemen06.html,6/5,Yemen 2006
/tablesy/yemen07.html,6/5,Yemen 2007
/tablesy/yemen08.html,6/5,Yemen 2007/08
/tablesy/yemen09.html,6/5,Yemen 2008/09
/tablesy/yemen2010.html,6/5,Yemen 2009/10
/tablesy/yemen2011.html,6/5,Yemen 2010/11
/tablesy/yemen2012.html,6/5,Yemen 2011/12
/tablesy/yemen2013.html,6/5,Yemen 2013
/tablesy/yemen2014.html,6/5,Yemen 2013/14
/tablesy/yemen2015.html,6/4,Yemen 2014/15
/tablesy/yemen2016.html,6/3,Yemen 2016
/tablesy/yemen2017.html,6/4,Yemen 2017
/tablesy/yemen2018.html,6/3,Yemen 2018
/tablesy/yemen2019.html,6/3,Yemen 2019
/tablesy/yemen2020.html,6/4,Yemen 2019/20
/tablesy/yemen2022.html,6/5,Yemen 2021/22
/tablesy/yemen2023.html,6/3,Yemen 2022/23
/tablesy/yemen2024.html,6/5,Yemen 2023/24
/tablesy/yemen2026.html,5/4,Yemen 2026
/tablesy/yemen81.html,5/3,North Yemen 1981
/tablesy/yemen84.html,7/5,North and South Yemen 1983/84
/tablesy/yemen90.html,7/3,North and South Yemen 1989/90
/tablesy/yemen91.html,7/4,Yemen 1990/91
/tablesy/yemen92.html,6/4,Yemen 1991/92
/tablesy/yemen94.html,6/4,Yemen 1993/94
/tablesy/yemen95.html,7/5,Yemen 1994/95
/tablesy/yemen97.html,7/5,Yemen 1996/97
/tablesy/yemen98.html,5/6,Yemen 1997/98
/tablesy/yemen99.html,5/5,Yemen 1998/99
/tablesy/yemenadenhist.html,3/5,Yemen - Colony of Aden - Historical Data 1961-1965
/tablesy/yemenchamp.html,32/40,Yemen - List of Champions
/tablesy/yemencup96.html,6/3,Yemen Cup 1995/96
/tablesy/yemencuphist.html,28/41,Yemen - List of Cup Winners
/tablesy/yemenfound.html,1/2,Yemen - List of Foundation Dates
/tablesy/yementops.html,1/32,Yemen - List of Topscorers
/tablesy/yerevan66.html,1/2,Yerevan Winter Tournament 1966
/tablesy/yingli12.html,2/2,Yingli Cup 2012 – Beijing
/tablesy/ymexusa37.html,0/2,?
/tablesy/yog2018.html,2/2,Buenos Aires 2018 Youth Olympic Games
/tablesy/yokocup89.html,1/2,Yokohama Cup 1989
/tablesy/yokohama-argtrip94.html,1/2,Yokohama Marinos Trip to Argentina 1994
/tablesy/yokohama-wc05.html,1/1,2005 Yokohama F.Marinos World Challenge
/tablesy/yongchuan-wom2015.html,0/1,?
/tablesy/youdan1867.html,1/2,England - Tommy Youdan Cup 1867
/tablesy/youth-socialist.html,0/2,?
/tablesy/youth-socialist69.html,0/1,?
/tablesy/youth-socialist71.html,0/1,?
/tablesy/ypaulista-trisur66.html,1/2,Seleção Paulista de Novos tour of Trinidad and Suriname 1966
/tablesy/ypres1903.html,1/2,Coupe De Vinck (Ieper) 1903
/tablesy/yverdon-expo02.html,0/1,?
/tablesy/yverdon-mini06.html,1/1,Mini Tournament in Yverdon 2006)
/tablesy/yverdon-mp02.html,1/2,MP Cup in Yverdon 2002
