path,links,title
/tablesz/zaca-bienestar2025.html,1/1,Copa por el Bienestar Zacatecas 2025
/tablesz/zaca-morelos2025.html,1/1,Copa Morelos 2025 (Zacatepec)
/tablesz/zacatecas-paz2024.html,1/1,Copa por la Paz 2024 (Zacatecas)
/tablesz/zacatecas100-14.html,1/1,Torneo 100 Aniversario Toma de Zacatecas 2014
/tablesz/zacatecas2015.html,1/1,Cuadrangular Ciudad de Zacatecas 2015
/tablesz/zaf-4n-u23-03.html,1/2,South Africa - Four Nations U-23 Tournament 2003
/tablesz/zaf-brittour53.html,3/3,South Africa tour of the British Isles 1953
/tablesz/zaf-brittour58.html,3/3,South Africa tour of the British Isles 1958
/tablesz/zaf-intres.html,10/8,South Africa - International Results
/tablesz/zaf-intres1995.html,4/3,South Africa - International Matches 1992-1995
/tablesz/zaf-intres2000.html,4/3,South Africa - International Matches 1996-2000
/tablesz/zaf-intres2005.html,3/2,South Africa - International Matches 2001-2005
/tablesz/zaf-intres24.html,4/3,South Africa International Matches 1924
/tablesz/zaf-intres4755.html,4/3,South Africa International Matches 1947-1955
/tablesz/zaf-wom-intres.html,1/2,South Africa - Women - International Results
/tablesz/zaf-wom02.html,4/2,South Africa (Women) 2001/02
/tablesz/zaf-wom03.html,4/2,South Africa (Women) 2002/03
/tablesz/zaf-wom04.html,4/2,South Africa (Women) 2003/04
/tablesz/zaf-wom06.html,4/2,South Africa (Women) 2005/06
/tablesz/zaf-wom08.html,4/2,South Africa (Women) 2007/08
/tablesz/zaf-wom09.html,4/3,South Africa (Women) 2008/09
/tablesz/zaf-wom2010.html,4/3,South Africa (Women) 2009/10
/tablesz/zaf-wom2011.html,4/3,South Africa (Women) 2010/11
/tablesz/zaf-wom2012.html,4/3,South Africa (Women) 2011/12
/tablesz/zaf-wom2013.html,4/3,South Africa (Women) 2013
/tablesz/zaf-wom2014.html,4/4,South Africa (Women) 2014
/tablesz/zaf-wom2015.html,4/4,South Africa (Women) 2015
/tablesz/zaf-wom2016.html,4/4,South Africa (Women) 2016
/tablesz/zaf-wom2017.html,4/4,South Africa (Women) 2017
/tablesz/zaf-wom2018.html,4/4,South Africa (Women) 2018
/tablesz/zaf-wom2019.html,4/4,South Africa (Women) 2019/20
/tablesz/zaf-wom2021.html,4/4,South Africa (Women) 2021
/tablesz/zaf-wom2022.html,4/4,South Africa (Women) 2022
/tablesz/zaf-wom2023.html,4/4,South Africa (Women) 2023
/tablesz/zaf-wom2024.html,3/3,South Africa (Women) 2024
/tablesz/zaf-wom87.html,3/2,South Africa (Women) 1987
/tablesz/zaf-womchamp.html,18/22,South Africa - List of Women Champions
/tablesz/zaf00.html,5/5,South Africa 1999/2000
/tablesz/zaf01.html,5/5,South Africa 2000/01
/tablesz/zaf02.html,5/5,South Africa 2001/02
/tablesz/zaf03.html,5/5,South Africa 2002/03
/tablesz/zaf04.html,5/5,South Africa 2003/04
/tablesz/zaf05.html,5/5,South Africa 2004/05
