path,links,title
/usadave/alpf.html,1/2,American League of Professional Football
/usadave/am-soc-overview.html,2/1,USA - An Overview of American Soccer History
/usadave/am-soc-overview-wom.html,1/2,USA - An Overview of American Women's Soccer History
/usadave/apsl.html,1/3,USA - A-League (American Professional Soccer League)
/usadave/asli.html,2/4,American Soccer League I
/usadave/aslii.html,2/4,USA - American Soccer League II
/usadave/asliii.html,0/2,-
/usadave/asliine.html,1/1,USA - American Soccer League II - New England Division
/usadave/cisl.html,6/3,Continental Indoor Soccer League
/usadave/cislhist.html,0/2,-
/usadave/cncc.html,7/28,Canada - Canadian National Challenge Cup
/usadave/cncc1320.html,2/3,Canada - Canadian National Challenge Cup - Additional Information
/usadave/cnsl.html,5/5,Canada - Canadian National Soccer League
/usadave/cpsl.html,3/4,Canada - Canadian Professional Soccer League
/usadave/cpslii.html,12/34,Canada - Canadian Professional/Premier Soccer League II
/usadave/csl.html,4/5,Canadian Soccer League I
/usadave/csl2.html,10/22,Canada - Canadian Soccer League II
/usadave/d2-pro.html,1/1,USA - D2-Pro League
/usadave/ecpsl.html,2/3,Canada - Eastern Canada Professional Soccer League
/usadave/ecpsl66.html,2/1,Canada - Eastern Canada Professional Soccer League 1966
/usadave/eisl.html,0/1,-
/usadave/epsc.html,0/1,-
/usadave/epsli.html,0/1,-
/usadave/epslii.html,2/1,Eastern Professional Soccer League II
/usadave/intro.html,63/2,USA and Canada Soccer Leagues 1894-Present
/usadave/isli.html,0/1,-
/usadave/islii.html,1/2,USA - International Soccer League II
/usadave/lssa.html,3/3,USA - Lone Star Soccer Alliance
/usadave/misli.html,2/4,Major Indoor Soccer League I
/usadave/mislii.html,3/2,Major Indoor Soccer League II
/usadave/misliii.html,1/1,Major Indoor Soccer League III
/usadave/mls.html,2/2,USA - Major League Soccer
/usadave/nafbl.html,0/1,-
/usadave/nasfl.html,1/1,USA - North American Soccer Football League
/usadave/nasl.html,2/9,North American Soccer League
/usadave/nasl2.html,1/1,USA - North American Soccer League II
/usadave/nasl67.html,2/2,North American Soccer League 1967
/usadave/npsl.html,1/1,USA - Men's Premier Soccer League
/usadave/nwsl.html,1/1,USA - National Women's Soccer League
/usadave/psa.html,3/2,Premier Soccer Alliance
/usadave/slsl.html,1/1,USA - St. Louis Soccer Leagues
/usadave/snesl.html,1/1,USA - Southern New England Soccer League
/usadave/soccerclub.html,4/4,"THE GRAND LIST, A - G"
/usadave/soccerclub2.html,4/4,"THE GRAND LIST, H - N"
/usadave/soccerclub3.html,4/4,"THE GRAND LIST, O - Z"
/usadave/usawc30.html,1/2,The myth of British pros on the 1930 U.S. team
/usadave/usindoor.html,5/2,History of Indoor Soccer in the USA
/usadave/usisl.html,1/3,USA - United Soccer Leagues
/usadave/usl.html,2/3,USA - United Soccer League
/usadave/uswisl.html,1/2,USA - United States Women's Interregional Soccer League (W-League)
/usadave/wisl.html,4/4,USA - World Indoor Soccer League
/usadave/wps.html,1/3,USA - Women's Professional Soccer
/usadave/wpsl.html,2/1,USA - Women's Premier Soccer League
/usadave/wsa.html,6/2,USA - Western Soccer Alliance/League
/usadave/wsl.html,2/2,USA - Western Soccer League
/usadave/wusa.html,1/4,USA - Women's United Soccer Association
